Cell ID,Entity,Dimension Code,Policy Dimension,NDC Source/Page,NDC Evidence Excerpt,IPCC Source/Page,IPCC Evidence Excerpt,Cut-off Flag,Review Scope
GC-039,EU,D4,Adaptation Finance,EU Adaptation Strategy (2021); European Commission international climate finance page; 2035 NDC (Nov 2025),"The EU Adaptation Strategy quantifies the cost of inaction — current EU economic losses from climate-related extreme weather already exceed €12 billion/year, projected to reach at least €170 billion/year at 3°C warming — but primary implementation responsibility for adaptation stays with Member States, with the EU providing only 'enhanced proactive measures... to support them.' The EU and Member States together provided €28.5 billion in public climate finance plus €11.9 billion in mobilised private finance in 2022 (combined mitigation and adaptation, not adaptation-specific). Climate Action Tracker (secondary) notes the EU's 2035 NDC 'has not specified the amount of its planned international climate finance contributions.'","IPCC AR6 WGII SPM C.3, C.5","AR6 WGII documents a widening adaptation finance gap; most tracked climate finance still goes to mitigation, and adaptation finance falls short of documented needs in developing countries.",,Formal cut-off-compliant 8-cell subset
GC-040,EU,D5,Loss and Damage,"COP28 outcomes (Dec 2023, European Commission/Consilium); Fund for Responding to Loss and Damage (established 2022)","The EU and its Member States led the initial capitalisation of the international Loss and Damage Fund, contributing more than €400 million — 'over two-thirds of the initial funding pledges' (European Commission, primary) — making the EU bloc the largest single contributor globally to the fund at its launch.",IPCC AR6 WGII SPM B,"AR6 WGII recognizes losses and damages as escalating, unequally distributed, and worsening with each increment of warming, with hard/soft adaptation limits already reached in some systems.",,Formal cut-off-compliant 8-cell subset
GC-041,EU,D6,Transport Sector Targets,"EU CO2 emission performance standards for cars and vans (Regulation, revised April 2023 under Fit for 55); proposed Dec 2025 Commission amendment","Legally binding fleet-wide targets require new cars and vans to cut CO2 emissions 55%/50% respectively by 2030 (vs 2021), reaching 100% (zero-emission) from 2035 — effectively banning sales of new CO2-emitting cars and vans EU-wide. However, a December 2025 Commission proposal would weaken this, 'allow[ing] a range of vehicle technologies to remain in play, including hybrids, plug-in hybrids, and range extenders... in addition to full EVs and hydrogen vehicles' (ESG Today, secondary), rolling back the 100% zero-emission requirement currently under review by Parliament and Council.",IPCC AR6 WGIII Ch.10,1.5°C (no/limited overshoot) pathways require a 59% [42–68%] reduction in transport CO2 by 2050 vs modelled 2020 levels; light-duty-vehicle electrification is the leading near-term lever.,,Formal cut-off-compliant 8-cell subset
GC-042,EU,D7,LULUCF and Carbon Sinks,2035 NDC (Nov 2025); EU LULUCF Regulation (2030 sink target),"The EU maintains a separate, quantified LULUCF target of a 310 MtCO2 net sink by 2030, of which only 225 MtCO2 can be counted toward the overall 55% 2030 target (a partial-crediting cap, more rigorous than fully counting all sink gains). However, Climate Action Tracker (secondary) states the EU 'has not provided any LULUCF targets for 2035, nor 2040' — the exact horizon years covered by the current NDC and 2040 target.",IPCC AR6 WGIII Ch.7 (AFOLU),"AFOLU can provide 20–30% of global mitigation needed for 1.5/2°C pathways to 2050 (~8–14 GtCO2e/yr economic potential), led by forest/ecosystem protection; the chapter flags long-term additionality and permanence uncertainty for land-sink-heavy strategies.",Potential post-cut-off source/date,Extended 35-cell diagnostic subset
GC-043,India,D1,Renewable Energy Targets,"India's NDC (2031-2035), submitted UNFCCC April 24, 2026, Union Cabinet approval March 25, 2026","NDC commits to 60% of installed electric power capacity from non-fossil sources by 2035 (up from a 50% target for 2030, which India already reached five years early — 52.57% as of Feb 2026). India also met its first NDC's 40% target nine years ahead of schedule. However, per Climate Action Tracker (secondary), 'non-fossil fuel sources now account for more than 50% of India's installed power capacity, [but] they contribute to less than 30% of actual electricity generated' — coal still supplies 70–75% of actual generation due to intermittency and grid/storage constraints.",IPCC AR6 WGIII Ch.6; SPM.3,1.5–<2°C pathways: low-carbon sources ~93–97% of global electricity by 2050.,Potential post-cut-off source/date,Extended 35-cell diagnostic subset
GC-044,India,D2,Net Zero Pathway,"India's NDC (2031-2035), April 2026; net-zero-by-2070 announcement (COP26, 2021)","NDC sets an emissions-*intensity* target (GHG per unit of GDP) of 47% below 2005 levels by 2035, up from 45% by 2030 (already at 36% as of 2020), covering all sectors and gases. Net-zero remains targeted for 2070. Per Carbon Brief (secondary), 'by setting an intensity target, India would be able to continue increasing its emissions as its economy grows' — there is no absolute, economy-wide GHG target. Climate Action Tracker (secondary) states the 2022 NDC 'will not drive real world emission reductions beyond its current level of climate action' and explicitly recommends India 'adopt a national, economy-wide GHG emissions target.'",IPCC AR6 Synthesis Report SPM B.6; WGIII Ch.3,"1.5°C (no/limited overshoot) pathways reach net-zero CO2 in the early 2050s, with GHG cuts of 43% [34–60%] by 2030 and 84% [73–98%] by 2050 vs 2019.",Potential post-cut-off source/date,Extended 35-cell diagnostic subset
GC-045,India,D3,Methane Reduction,"India's NDC (2031-2035), April 2026; Global Methane Pledge (non-signatory status)","India's NDC contains no standalone quantified methane target; methane is only implicitly covered within the aggregate emissions-intensity metric (per Carbon Brief, the intensity target 'covers all gases... such as methane and nitrous oxide'). Climate Action Tracker (secondary, 2023) states plainly: 'India is amongst one of the few top methane emitters, along with China and Russia, that has not signed the Global Methane Pledge.' Ember (secondary) separately notes coal-mine methane abatement remains a largely untapped 'low-hanging opportunity' with no dedicated policy found.",IPCC AR6 Synthesis Report SPM B.6.2,1.5°C (>50%) no/limited-overshoot pathways: global methane emissions reduced 34% [21–57%] by 2030 relative to 2019.,Potential post-cut-off source/date,Extended 35-cell diagnostic subset
GC-046,India,D4,Adaptation Finance,"India's NDC (2031-2035), April 2026; Green Climate Fund / GEF / Adaptation Fund disbursements to India (secondary, Greenpeace India)","Carbon Brief (secondary) states plainly: 'the 1,200-word press release announcing the approval of India's new NDC for 2035 is thin on detail. For example, it did not spell out any climate-finance needs for adaptation, mitigation or climate change-induced loss and damage.' The NDC text itself states commitments 'are contingent upon the receipt of due support, including its due share of international climate finance.' As a recipient (not provider), India has received cumulative international support including USD 803.9 million from the Green Climate Fund, USD 346.52 million from the GEF, and USD 16.86 million from the Adaptation Fund — described by Greenpeace India (secondary) as 'modest compared to the challenges at hand.'","IPCC AR6 WGII SPM C.3, C.5","AR6 WGII documents a widening adaptation finance gap; most tracked climate finance still goes to mitigation, and adaptation finance falls short of documented needs in developing countries.",Potential post-cut-off source/date,Extended 35-cell diagnostic subset
GC-047,India,D5,Loss and Damage,"India's NDC (2031-2035), April 2026","As with adaptation finance, Carbon Brief (secondary) confirms India's NDC 'did not spell out any climate-finance needs for... climate change-induced loss and damage' — despite India's own high vulnerability (a cited 55% rise in heat-related deaths 2000–2020 and over 80% of districts facing extreme climate risk, per secondary sources). No L&D finance need, liability reference, or related commitment was found in the NDC text.",IPCC AR6 WGII SPM B,"AR6 WGII recognizes losses and damages as escalating, unequally distributed, and worsening with each increment of warming, with hard/soft adaptation limits already reached in some systems.",Potential post-cut-off source/date,Extended 35-cell diagnostic subset
GC-048,India,D6,Transport Sector Targets,"PM E-DRIVE scheme (successor to FAME I/II, launched 2024); COP26 100% EVs declaration (signed by India, 2021)","India signed the COP26 100% EVs declaration with a focus on two- and three-wheelers, and separately has floated a plan for all two-wheelers to be electric by 2026. PM E-DRIVE provides INR 36.79 billion (USD 438 million) in incentives for battery-powered two/three-wheelers, ambulances, trucks and other EVs, following FAME I/II's INR 100bn+115bn outlay. However, Climate Action Tracker (secondary) notes 'overall adoption of EV is slow,' and separately flags that 'plans to shift long-haul trucks to LNG risk locking in fossil fuel use.' No absolute transport-sector emissions target or economy-wide electrification-share target was found in the NDC itself.",IPCC AR6 WGIII Ch.10,1.5°C (no/limited overshoot) pathways require a 59% [42–68%] reduction in transport CO2 by 2050 vs modelled 2020 levels; light-duty-vehicle electrification is the leading near-term lever.,,Formal cut-off-compliant 8-cell subset
GC-049,India,D7,LULUCF and Carbon Sinks,"India's NDC (2031-2035), April 2026","NDC commits to an additional carbon sink of 3.5–4.0 billion tonnes CO2e through enhanced forest and tree cover by 2035, up from the prior 2.5–3.0 billion tonne target for 2030. As of 2025, India reports having already created 2.29 billion tonnes CO2e of additional sink since 2005, putting the 2030 milestone within close reach. Notably, per Climate Action Tracker (secondary, 2023), 'India did not sign up to the COP26 forest declaration' on halting and reversing forest loss by 2030, a separate international commitment.",IPCC AR6 WGIII Ch.7 (AFOLU),"AFOLU can provide 20–30% of global mitigation needed for 1.5/2°C pathways to 2050 (~8–14 GtCO2e/yr economic potential), led by forest/ecosystem protection; the chapter flags long-term additionality and permanence uncertainty for land-sink-heavy strategies.",Potential post-cut-off source/date,Extended 35-cell diagnostic subset
GC-050,Indonesia,D1,Renewable Energy Targets,"Indonesia's Second NDC (SNDC, submitted UNFCCC Oct 27, 2025), referencing the National Energy Policy; Just Energy Transition Partnership (JETP, 2022, separate from NDC)","NDC references the National Energy Policy's primary energy supply mix targets: 19–23% renewable energy by 2030, 36–40% by 2040, 70–72% by 2060. Separately, the JETP (an international partnership, not part of the NDC itself) targets 44% on-grid renewable power by 2030, up from 15% in 2023 — a more ambitious figure than the NDC's own energy-mix target, but JETP financing 'remains dominated by loans' (Climate Action Tracker, secondary) and implementation lags.",IPCC AR6 WGIII Ch.6; SPM.3,1.5–<2°C pathways: low-carbon sources ~93–97% of global electricity by 2050. CAT's Indonesia-specific 1.5°C-compatible benchmark (secondary) is 55–82% renewable power by 2030.,Potential post-cut-off source/date,Exploratory 119-cell review
GC-051,Indonesia,D2,Net Zero Pathway,"2035 NDC (Oct 2025); Long-Term Strategy for Low Carbon and Climate Resilience (LTS-LCCR, submitted 2021)","Indonesia targets net zero by 2060 'or sooner.' However, the unconditional 2035 scenario shows emissions rising 56% above 2019 levels by 2035, continuing to rise for 25 years and peaking in 2050 'at more than double 2019 levels' (excl. LULUCF) (Climate Action Tracker, secondary). The conditional (internationally-supported) scenarios offer only marginally stronger near-term reductions and still rely on steep post-2035 cuts to reach net zero.",IPCC AR6 Synthesis Report SPM B.6; WGIII Ch.3,"1.5°C (no/limited overshoot) pathways reach net-zero CO2 in the early 2050s, with GHG cuts of 43% [34–60%] by 2030 and 84% [73–98%] by 2050 vs 2019.",Potential post-cut-off source/date,Exploratory 119-cell review
GC-052,Indonesia,D3,Methane Reduction,2035 NDC (Oct 2025); University of Maryland/CGS working paper on Indonesia's 2035 NDC and net-zero pathways (2025),"No quantified methane target was found in the NDC. Independent academic analysis (CGS, secondary) states plainly: 'Policy attention to methane (CH4) and other non-CO2 gases is largely missing, with high data uncertainty.' Climate Action Tracker (secondary) confirms: 'Major sources, including agricultural methane, landfill gas, and coalmine methane, remain largely unaddressed, despite being recognised as low-cost, high-impact mitigation opportunities.'",IPCC AR6 Synthesis Report SPM B.6.2,1.5°C (>50%) no/limited-overshoot pathways: global methane emissions reduced 34% [21–57%] by 2030 relative to 2019.,Potential post-cut-off source/date,Exploratory 119-cell review
GC-053,Indonesia,D4,Adaptation Finance,"Second NDC (Oct 2025); National Adaptation Plan (NAP) 2026–2030, submitted UNFCCC 2025","NDC states USD 18.5 billion (IDR 304.8 trillion) was allocated for climate-related purposes 2020–2023, and estimates a total investment need of USD 472.6 billion for 2030–2035 across energy, agriculture, FOLU and waste sectors. Neither figure is disaggregated between mitigation and adaptation, or between domestic and international sources — Climate Action Tracker (secondary) explicitly notes the $472.6bn figure is presented 'without distinguishing between domestic investment and international climate finance needs.' A full National Adaptation Plan (2026–2030, pathway toward 2035) was separately submitted to the UNFCCC in 2025.","IPCC AR6 WGII SPM C.3, C.5","AR6 WGII documents a widening adaptation finance gap; most tracked climate finance still goes to mitigation, and adaptation finance falls short of documented needs in developing countries.",Potential post-cut-off source/date,Exploratory 119-cell review
GC-054,Indonesia,D5,Loss and Damage,"Second NDC (Oct 2025), adaptation section","Per WRI Indonesia (secondary summarizing NDC content), 'the government assesses research needs and gaps related to loss and damage, including slow-onset events and extreme disasters' — a real but preliminary, research/assessment-stage reference rather than a quantified finance need or funded program. Separately, academic analysis (Apresian, 2025) documents that Indonesian government agencies (BAPPENAS and the Ministry of Environment and Forestry) currently use different methods to measure loss and damage, producing inconsistent figures between planning documents.",IPCC AR6 WGII SPM B,"AR6 WGII recognizes losses and damages as escalating, unequally distributed, and worsening with each increment of warming, with hard/soft adaptation limits already reached in some systems.",Potential post-cut-off source/date,Exploratory 119-cell review
GC-055,Indonesia,D6,Transport Sector Targets,Presidential Decree No. 55/2019; National Industry Masterplan (RIPIN) 2015-2035; Second NDC (Oct 2025) mitigation priorities,"Indonesia's SNDC lists 'accelerating electric vehicle and biofuel deployment' among its mitigation priorities. The quantified EV targets live in adjacent instruments: 15 million EVs by 2030 (1.97 million electric cars, 12.9 million electric motorcycles), and separate production targets of 6 million two/three-wheeler EVs by 2025 and 12 million by 2035 (RIPIN). Academic analysis (ADB, secondary, referencing the prior NDC cycle) notes transport mitigation historically relied mainly on 'biofuel and natural gas to substitute petroleum' rather than a structural transport-emissions target.",IPCC AR6 WGIII Ch.10,1.5°C (no/limited overshoot) pathways require a 59% [42–68%] reduction in transport CO2 by 2050 vs modelled 2020 levels; light-duty-vehicle electrification is the leading near-term lever.,,Exploratory 119-cell review
GC-056,Indonesia,D7,LULUCF and Carbon Sinks,"Second NDC (Oct 2025); FOLU Net Sink 2030 program (launched COP26, 2021)","The FOLU Net Sink 2030 target pledges net negative Forestry and Other Land Use emissions of 140 MtCO2e by 2030 and 340 MtCO2e by 2050. The SNDC increases the sector's expected role further, with FOLU projected to absorb 118 MtCO2e in 2030 and 206 MtCO2e in 2035 — described by an Indonesian government official as the 'sector of hope, contributing the largest emission reductions' (Mongabay, secondary). Climate Action Tracker (secondary) states the '2035 NDC remains heavily reliant on LULUCF sinks to offset the continued growth of fossil fuel emissions,' with the FOLU target's credibility 'now being questioned amid calls for a “more realistic” approach' and ongoing food-estate-driven deforestation continuing in forest and peat areas.",IPCC AR6 WGIII Ch.7 (AFOLU),"AFOLU can provide 20–30% of global mitigation needed for 1.5/2°C pathways to 2050 (~8–14 GtCO2e/yr economic potential), led by forest/ecosystem protection; the chapter flags long-term additionality and permanence uncertainty for land-sink-heavy strategies.",Potential post-cut-off source/date,Exploratory 119-cell review
GC-057,Japan,D1,Renewable Energy Targets,"Japan's Second NDC (submitted UNFCCC Feb 18, 2025); 7th Strategic Energy Plan / GX Basic Policy (revised 2025)","Japan's revised energy strategy targets renewables at 40–50% of the electricity mix by FY2040, with nuclear contributing another ~20% (non-fossil ~60–70% by 2040). Climate Action Tracker (secondary) recommends Japan 'set new electricity mix targets for 2035 in the new Basic Energy Plan in line with the upcoming NDC target year' — implying no explicit 2035 electricity-mix figure was set alongside the 2035 NDC itself. The GX Basic Policy 'does not provide concrete emissions reduction targets; instead, it promotes the development of so-called “clean coal” technologies... inconsistent with pathways required to limit global warming to below 1.5°C' (CAT, secondary).",IPCC AR6 WGIII Ch.6; SPM.3,1.5–<2°C pathways: low-carbon sources ~93–97% of global electricity by 2050.,Potential post-cut-off source/date,Exploratory 119-cell review
GC-058,Japan,D2,Net Zero Pathway,Japan's Second NDC (Feb 2025),"NDC sets a 60% reduction by FY2035 and 73% by FY2040 (vs FY2013), explicitly designed as 'points on a straight-line trajectory' (linear pathway) between the 2030 target (46%) and net-zero by 2050. This design was adopted despite 'more than 80% of the 3,000-plus comments the government received calling for higher targets' (Climate Home News, secondary). We Mean Business Coalition/Japan Climate Initiative (secondary) state the targets 'are less ambitious than the global average reductions required to keep the 1.5°C goal within reach, and are insufficient given Japan's developed country status.'",IPCC AR6 Synthesis Report SPM B.6; WGIII Ch.3,"1.5°C (no/limited overshoot) pathways reach net-zero CO2 in the early 2050s, with GHG cuts of 43% [34–60%] by 2030 and 84% [73–98%] by 2050 vs 2019.",Potential post-cut-off source/date,Exploratory 119-cell review
GC-059,Japan,D3,Methane Reduction,"Japan's Second NDC (Feb 2025); Global Methane Pledge Champion statements (Japan, 2024)","Japan's NDC sets a quantified target: 'methane emissions reduction by 11% from the level of FY2013,' bringing methane down to an estimated 26.7 million t-CO2eq by FY2030 (GMP Methane Action Update, Sept 2024). Japan is also a Global Methane Pledge 'Champion' alongside the US, EU, Canada and Germany, publicly calling on 'every Party to include absolute target of methane' in their NDCs — a notably more ambitious international ask than Japan's own 11% domestic figure.",IPCC AR6 Synthesis Report SPM B.6.2,1.5°C (>50%) no/limited-overshoot pathways: global methane emissions reduced 34% [21–57%] by 2030 relative to 2019.,Potential post-cut-off source/date,Exploratory 119-cell review
GC-060,Japan,D4,Adaptation Finance,"Japan's Climate Change Adaptation Plan (Cabinet-approved Oct 22, 2021); COP29 finance pledge (Nov 2024, Ministry of the Environment)","Domestically, Japan's Adaptation Plan sets sector-specific KPIs for adaptation measures. Internationally, Japan pledged USD 70 billion in public and private climate support for developing countries through 2025 at COP29, explicitly 'doubling adaptation funding' (amount for adaptation specifically not itemised), and has contributed up to USD 3 billion cumulatively to the Green Climate Fund (second-largest contributor after the UK). However, Climate Transparency (secondary) finds 'most of the country's climate finance remains dedicated to mitigation, failing to achieve a balance with adaptation,' and that 'Japan mostly provides its finance as loans rather than grants.'","IPCC AR6 WGII SPM C.3, C.5","AR6 WGII documents a widening adaptation finance gap; most tracked climate finance still goes to mitigation, and adaptation finance falls short of documented needs in developing countries.",,Exploratory 119-cell review
GC-061,Japan,D5,Loss and Damage,"COP29 finance pledge (Nov 2024, Ministry of the Environment); 'Assistance Package by the Government of Japan for Averting, Minimizing and Addressing Loss and Damage' (Ministry of the Environment)","Japan pledged an initial USD 10 million to the international Fund for responding to Loss and Damage at COP29, as part of its broader $70 billion climate finance package. Japan also maintains a specifically named 'Assistance Package... for Averting, Minimizing and Addressing Loss and Damage' as a standing program area under its Ministry of the Environment.",IPCC AR6 WGII SPM B,"AR6 WGII recognizes losses and damages as escalating, unequally distributed, and worsening with each increment of warming, with hard/soft adaptation limits already reached in some systems.",Potential post-cut-off source/date,Exploratory 119-cell review
GC-062,Japan,D6,Transport Sector Targets,"Long-Term Strategy (LTS, 2021 update) vehicle electrification targets; 'Guidelines for Promoting the Development of EV Charging Infrastructure' (Oct 2023)","Japan sets sector-segmented targets: 100% of new passenger-vehicle sales to be 'electrified vehicles' by 2035; 20–30% of new light commercial vehicle sales electrified by 2030, rising to 100% electrified/decarbonised-fuel by 2040; early adoption of 5,000 electrified heavy vehicles in the 2020s. Charging infrastructure targets call for doubling installed ports to 300,000 by 2030. However, Japan's 'electrified vehicle' definition includes non-plug-in hybrids, and CAT (secondary) recommends Japan 'strengthen its EV target to phase out all fossil-fuel passenger (ICE) cars from new sales by 2035' — Japan also declined to sign the COP26 100% Zero-Emission Vehicles declaration despite leading the global auto industry, reportedly due to domestic automaker lobbying for hybrid carve-outs.",IPCC AR6 WGIII Ch.10,1.5°C (no/limited overshoot) pathways require a 59% [42–68%] reduction in transport CO2 by 2050 vs modelled 2020 levels; light-duty-vehicle electrification is the leading near-term lever.,,Exploratory 119-cell review
GC-063,Japan,D7,LULUCF and Carbon Sinks,"Japan's Second NDC (Feb 2025); Climate Action Tracker Assumptions page (secondary, citing Government of Japan 2025c)","The NDC's headline 60%-by-2035 target embeds both a projected LULUCF sink of 91 MtCO2 for 2035 and Joint Crediting Mechanism (JCM) bilateral offset credits, which Japan states it aims to secure 'at the level of approximately 100 MtCO2 by FY2030 and approximately 200 MtCO2 by FY2040' and has confirmed will count toward its NDC targets. Climate Action Tracker (secondary) recalculates the target after removing both LULUCF and JCM to assess the underlying gross-emissions reduction separately.",IPCC AR6 WGIII Ch.7 (AFOLU),"AFOLU can provide 20–30% of global mitigation needed for 1.5/2°C pathways to 2050 (~8–14 GtCO2e/yr economic potential), led by forest/ecosystem protection; the chapter flags long-term additionality and permanence uncertainty for land-sink-heavy strategies.",Potential post-cut-off source/date,Exploratory 119-cell review
GC-064,Mexico,D1,Renewable Energy Targets,"Mexico's Third NDC / NDC 3.0 (submitted UNFCCC Nov 17, 2025, presented at COP30)","NDC 3.0 sets the goal of 'achieving 38.5% clean electricity generation by 2030 and 43.3% by 2035' (SEMARNAT Minister Alicia Bárcena, COP30 remarks, primary statement). Mexico's track record on prior targets is weak: the 2015 NDC's goal of 35% clean electricity by 2024 was missed, with the country reaching only 26.5% in 2024 (Mexico Business News, secondary, citing the latest government report).",IPCC AR6 WGIII Ch.6; SPM.3,1.5–<2°C pathways: low-carbon sources ~93–97% of global electricity by 2050.,Potential post-cut-off source/date,Exploratory 119-cell review
GC-065,Mexico,D2,Net Zero Pathway,"NDC 3.0 (Nov 2025); net-zero-by-2050 announcement (COP29, 2024)","For the first time, Mexico's NDC sets an absolute (not BAU-percentage) net emissions cap for 2035: 364–404 MtCO2e unconditionally, 332–363 MtCO2e with international support, covering all GHGs and sectors (including LULUCF), reaffirming net zero by 2050. Climate Action Tracker (secondary) states this 'would lead Mexico closer to a 1.5°C-compatible national emissions trajectory' versus the previous 2030 NDC, though Mexico has not yet submitted an updated Long-Term Strategy. Independent commentary (Isabel Studer, Sostenibilidad Global, secondary) flags a 'structural contradiction': PEMEX's 2026 budget (US$28.2 billion) dwarfs SEMARNAT's environment budget (US$103 million, a 4% real decline), and the Minister herself stated PEMEX's continued oil production growth is compatible with the target only because 'it will have to offset its emissions with nature-based solutions.'",IPCC AR6 Synthesis Report SPM B.6; WGIII Ch.3,"1.5°C (no/limited overshoot) pathways reach net-zero CO2 in the early 2050s, with GHG cuts of 43% [34–60%] by 2030 and 84% [73–98%] by 2050 vs 2019.",Potential post-cut-off source/date,Exploratory 119-cell review
GC-066,Mexico,D3,Methane Reduction,NDC 3.0 (Nov 2025); Natural Resource Governance Institute analysis (Sept 2025); Climate & Clean Air Coalition Mexico partner page,"No quantified national methane reduction target was found in the NDC. NRGI (secondary) frames methane action as a forward-looking opportunity, not an existing commitment: 'the updated NDC offers the right framework for Pemex to adopt absolute, phased reduction targets... and join the Oil & Gas Methane Partnership (OGMP 2.0)' — implying PEMEX has not yet done so. The Climate & Clean Air Coalition (secondary) lists ongoing, unfinished work to 'develop a methane roadmap for the livestock sub-sector and inclusion of agricultural livestock methane in Mexico's NDC 3.0,' indicating this remains in progress rather than completed. Mexico does have federal oil & gas methane regulations (since 2020, the first in Latin America) and 2019 pipeline-venting guidelines, but these are process/regulatory measures, not a quantified reduction target.",IPCC AR6 Synthesis Report SPM B.6.2,1.5°C (>50%) no/limited-overshoot pathways: global methane emissions reduced 34% [21–57%] by 2030 relative to 2019.,Potential post-cut-off source/date,Exploratory 119-cell review
GC-067,Mexico,D4,Adaptation Finance,NDC 3.0 (Nov 2025) — adaptation and means-of-implementation components,"NDC 3.0 adds new 'means of implementation' and 'cross-cutting issues' components and frames adaptation around six axes (including a new climate-security axis), but no quantified adaptation-specific finance figure was found across multiple searches of NDC summaries, UNDP Climate Promise coverage, and Climate Action Tracker's policy analysis. References found (e.g., 'Solar Roofs for Well-Being,' rural electrification) are mitigation/access programs, not disaggregated adaptation finance commitments.","IPCC AR6 WGII SPM C.3, C.5","AR6 WGII documents a widening adaptation finance gap; most tracked climate finance still goes to mitigation, and adaptation finance falls short of documented needs in developing countries.",Potential post-cut-off source/date,Exploratory 119-cell review
GC-068,Mexico,D5,Loss and Damage,"NDC 3.0 (Nov 2025), dedicated Loss and Damage component","For the first time, Mexico's NDC includes 'loss and damage as a dedicated component, addressing climate-induced displacement, risk-transfer mechanisms, and resilient reconstruction' (UNDP Climate Promise, primary NDC summary). Mexico Business News (secondary) adds the component is 'focused on resilience and financial risk tools, such as parametric insurance, to protect vulnerable communities.'",IPCC AR6 WGII SPM B,"AR6 WGII recognizes losses and damages as escalating, unequally distributed, and worsening with each increment of warming, with hard/soft adaptation limits already reached in some systems.",Potential post-cut-off source/date,Exploratory 119-cell review
GC-069,Mexico,D6,Transport Sector Targets,"2023 National Electric Mobility Strategy (ENME, SEMARNAT); Norma 163 (published Jan 2024, five years delayed)","The ENME sets qualitative priority areas across electric public transport, freight, private light vehicles, and alternative electric mobility, organized around five working groups (regulation, incentives/financing, pilot projects, city alliances, infrastructure/research). Norma 163 (Jan 2024) is a real, binding emissions-limit standard for new light vehicles — a more concrete regulatory instrument than most peers' purely aspirational transport language. However, EV adoption remains minimal: cumulative EV/PHEV/HEV sales from Jan 2016–June 2023 were only 2.5% of total light-vehicle sales, and no absolute transport-sector emissions or EV-sales-share numeric target was found in the NDC itself.",IPCC AR6 WGIII Ch.10,1.5°C (no/limited overshoot) pathways require a 59% [42–68%] reduction in transport CO2 by 2050 vs modelled 2020 levels; light-duty-vehicle electrification is the leading near-term lever.,,Exploratory 119-cell review
GC-070,Mexico,D7,LULUCF and Carbon Sinks,NDC 3.0 (Nov 2025); National Restoration Environmental Programme (2025); National Blue Carbon Strategy (March 2024),"Climate Action Tracker (secondary) notes 'the land use, land-use change, and forestry (LULUCF) has been a stable sink in Mexico over the last 20 years' — a more credible baseline than several peers reviewed. The 2025 National Restoration Environmental Programme sets quantified targets: restoring 25,000 ha of forest by 2025 and 100,000 ha by 2030, contributing to the existing net-zero-deforestation-by-2030 goal, alongside a National Blue Carbon Strategy protecting mangroves and seagrasses. However, Minister Bárcena explicitly stated that PEMEX's continued oil production growth 'will have to offset its emissions with nature-based solutions,' citing forest and mangrove conservation as the offset mechanism for a fossil-fuel sector that is expanding, not contracting.",IPCC AR6 WGIII Ch.7 (AFOLU),"AFOLU can provide 20–30% of global mitigation needed for 1.5/2°C pathways to 2050 (~8–14 GtCO2e/yr economic potential), led by forest/ecosystem protection; the chapter flags long-term additionality and permanence uncertainty for land-sink-heavy strategies.",Potential post-cut-off source/date,Exploratory 119-cell review
GC-071,Russia,D1,Renewable Energy Targets,"Russia's 2035 NDC (submitted UNFCCC Sept 29, 2025); Energy Strategy to 2050 (2025)","Russia's original renewable target (4.5% non-hydro renewables by 2024) was already missed — 'implementation has fallen behind even this low target' (Climate Analytics, secondary). Wind and solar amounted to just 0.6% of generation in 2024 (Ember, via CAT, secondary). Hydropower's share is projected to *fall* from 17% (2024) to 15% by 2035 and then stabilise. Russia's Energy Strategy to 2050 projects coal's share of the energy mix to be 'ten times larger than that of wind and solar,' and separately plans to increase coal generation 19% above 2023 levels by 2035.",IPCC AR6 WGIII Ch.6; SPM.3,1.5–<2°C pathways: low-carbon sources ~93–97% of global electricity by 2050.,Potential post-cut-off source/date,Exploratory 119-cell review
GC-072,Russia,D2,Net Zero Pathway,"Russia's 2035 NDC (Sept 2025); Long-Term Strategy (LTS, submitted UNFCCC Sept 2022)","NDC commits to emissions at 65–67% of 1990 levels by 2035 (incl. LULUCF), signed into law by President Putin in August 2025. Climate Action Tracker (secondary) states plainly: 'Russia is already set to achieve its 2035 emissions target under current policies... Russia's 2035 target therefore does not increase ambition beyond business as usual. This runs completely contrary to Paris Agreement principles, which require NDCs to reflect a country's highest possible ambition.' The LTS's net-zero-by-2060 goal (with an 80%-by-2050 milestone) relies so heavily on LULUCF sink growth that CAT notes Russia has 'effectively already met the 2050 target' through recalculated land-sink accounting rather than real emissions reductions. CAT rates the net-zero target 'Poor' and Russia's overall climate action 'Critically Insufficient.'",IPCC AR6 Synthesis Report SPM B.6; WGIII Ch.3,"1.5°C (no/limited overshoot) pathways reach net-zero CO2 in the early 2050s, with GHG cuts of 43% [34–60%] by 2030 and 84% [73–98%] by 2050 vs 2019.",Potential post-cut-off source/date,Exploratory 119-cell review
