Cell ID,Entity,Dimension Code,Policy Dimension,What to Assess,NDC Source/Page,NDC Evidence Excerpt,IPCC Source/Page,IPCC Evidence Excerpt,Figure 2 System Score,Figure 2 System Class,Human Classification,Human Confidence,Reviewer Rationale,Evidence Sufficient?,Suggested Action,Cut-off Flag,Exact Match,Reviewer ID,Review Date,Review Scope
GC-025,Canada,D4,Adaptation Finance,Quantified adaptation finance needs/commitments and conditionality,"National Adaptation Strategy (NAS, 2023) and federal Adaptation Action Plan; Canada's international climate finance commitment (2021)","NAS launch included CAD 1.6 billion in new federal funding over 5 years; cumulative federal adaptation investment exceeds $6.5 billion since 2015 ($2 billion since fall 2022 for NAS implementation specifically), with disaster-relief-inclusive federal spending over $10 billion. Internationally, Canada doubled its climate finance commitment to CAD 5.3 billion (2021–2026) and joined the Champions Group on Adaptation Finance advocating a doubling of global adaptation finance.","IPCC AR6 WGII SPM C.3, C.5","AR6 WGII documents a widening adaptation finance gap; most tracked climate finance still goes to mitigation, and adaptation finance falls short of documented needs in developing countries.",0.85,Critical,Significant,High,"Quantified, multi-year domestic and international adaptation finance figures are among the most detailed reviewed so far. However, independent civil-society analysis (Climate Proof Canada, secondary) argues actual need is 'at least $5.3 billion annually' — well above what's currently committed — which is real evidence of a funding gap rather than full alignment.",Yes,Revise Class,,0,Reviewer 1,2026-08-07,Exploratory 119-cell review
GC-026,Canada,D5,Loss and Damage,"Loss and Damage finance needs, liability/compensation references, or related commitments","COP28 backgrounder (Dec 2023, ECCC); National Adaptation Strategy (2023), international geopolitics/loss-and-damages risk section","Canada announced CAD 16 million in seed funding to the international Loss and Damage Fund at COP28 (established following the COP27 decision), described as building on Canada's efforts 'to address loss and damage in climate-vulnerable countries,' funded under its CAD 5.3bn international climate finance envelope. The National Adaptation Strategy also names 'loss and damages' explicitly as an international-geopolitics risk category.",IPCC AR6 WGII SPM B,"AR6 WGII recognizes losses and damages as escalating, unequally distributed, and worsening with each increment of warming, with hard/soft adaptation limits already reached in some systems.",0.7,Significant,Significant,High,"A specific, quantified, named contribution to the international L&D Fund is a stronger and more concrete piece of evidence than most countries reviewed (which had either no commitment or only general finance-facility language). $16 million is modest relative to global L&D need, which is why this falls short of 'Aligned.'",Yes,Retain Figure 2 Class,,1,Reviewer 1,2026-08-07,Exploratory 119-cell review
GC-027,Canada,D6,Transport Sector Targets,Transport electrification/modal shift/sector target vs IPCC transport mitigation pathway,"National Zero-Emission Vehicle (ZEV) sales mandate (regulation); Zero Emission Transit Fund (5,000 buses commitment); Zero-Emission Trucking Program ($75.8M)","Canada has a legally mandated national ZEV sales target (100% of new light-duty vehicle sales to be zero-emission by 2035, per the ZEV regulations referenced by CAT), plus dedicated federal funding programs for transit and freight electrification. However, secondary reporting (Climate Scorecard, Aug 2025) notes 'Canadians await a plan to replace carbon pricing and a revisit of Canada's mandate,' with 'EV sales... plummeting due to trade issues with the USA,' signalling political uncertainty around the mandate's durability under the new government.",IPCC AR6 WGIII Ch.10,1.5°C (no/limited overshoot) pathways require a 59% [42–68%] reduction in transport CO2 by 2050 vs modelled 2020 levels; light-duty-vehicle electrification is the leading near-term lever.,0,Aligned,Not Comparable,Medium,"This is a more concrete, quantified transport commitment than most peers reviewed (a real sales-share mandate, not just qualitative language), but it measures new-vehicle sales share rather than absolute transport-sector emissions, so it cannot be directly benchmarked against AR6's 59%-by-2050 absolute-emissions metric — and its near-term political durability is now in question per secondary reporting.",Partly,Revise Class,,0,Reviewer 1,2026-08-07,Exploratory 119-cell review
GC-028,Canada,D7,LULUCF and Carbon Sinks,"Land-use commitments, sink accounting, additionality, and offsets","2035 NDC (Feb 2025); 2024/2025 National Inventory Report (NIR), Environment and Climate Change Canada","Canada's 2035 target excludes LULUCF from the 2005 baseline but uses a 'gross-net' approach that partially counts LULUCF sink categories and potential engineered carbon dioxide removal toward achieving the target (Climate Action Tracker, secondary). Critically, 'with improved forestry data in the 2024 National Inventory Report, Canada's LULUCF shifted from a net sink to a net source of emissions across the entire historical period' — i.e., the land sector Canada had been counting on as a sink no longer functions as one in the updated accounting.",IPCC AR6 WGIII Ch.7 (AFOLU),"AFOLU can provide 20–30% of global mitigation needed for 1.5/2°C pathways to 2050 (~8–14 GtCO2e/yr economic potential), led by forest/ecosystem protection; the chapter flags long-term additionality and permanence uncertainty for land-sink-heavy strategies.",0.7,Significant,Critical,High,"This is the most severe LULUCF integrity issue found among countries reviewed so far: Canada's target design assumed land-sector sink contributions that a subsequent official inventory revision showed do not currently exist (LULUCF flipped to a net source), directly undermining the credibility of the 'gross-net' accounting approach used to help meet the 2035 target.",Yes,Revise Class,Potential post-cut-off source/date,0,Reviewer 1,2026-08-07,Exploratory 119-cell review
GC-029,China,D1,Renewable Energy Targets,Share of renewable/non-fossil electricity or installed capacity vs IPCC electricity-share benchmark,"China's 2035 NDC (submitted UNFCCC Nov 3, 2025, announced by Xi Jinping Sept 24, 2025)","NDC commits to increasing non-fossil energy to 'over 30% of total energy consumption by 2035' (up from a 25% target for 2030) and raising installed wind and solar capacity to 'over 3.6 TW by 2035 (≈ six times 2020 levels).' Per Climate Action Tracker (secondary), China 'has overachieved its 2030 NDC targets for renewable energy capacity... in 2024' and remains on track for its 25% non-fossil share under current policy.",IPCC AR6 WGIII Ch.6; SPM.3,1.5–<2°C pathways: low-carbon sources ~93–97% of global electricity by 2050.,0.6,Significant,Significant,High,"Absolute capacity targets are large, quantified, and have a strong track record of overachievement, but the NDC metric (non-fossil share of *total energy*, not electricity) differs from AR6's electricity-share benchmark, and coal still supplied 58% of power generation in 2024 with 291 GW of new coal capacity in the pipeline (CAT, secondary) — the NDC calls for 'strict control' of fossil consumption rather than a phase-out, which caps this below 'Aligned.'",Yes,Retain Figure 2 Class,Potential post-cut-off source/date,1,Reviewer 1,2026-08-07,Extended 35-cell diagnostic subset
GC-030,China,D2,Net Zero Pathway,"Net-zero target year, gases/sectors covered vs IPCC net-zero trajectory",2035 NDC (Nov 2025); Xi Jinping's 2020 UNGA net-zero-by-2060 announcement,"For the first time, China's NDC sets an absolute (not intensity-based) target: reduce economy-wide net GHG emissions 7–10% below peak levels by 2035, 'striving to do better,' reaffirming net-zero by 2060. Climate Action Tracker (secondary) notes this 'represents a shift from intensity-based targets to absolute emission reductions for the first time, albeit from an unclear baseline' since China's peak year is not clearly defined.",IPCC AR6 Synthesis Report SPM B.6; WGIII Ch.3,"1.5°C (no/limited overshoot) pathways reach net-zero CO2 in the early 2050s, with GHG cuts of 43% [34–60%] by 2030 and 84% [73–98%] by 2050 vs 2019.",0.6,Significant,Significant,High,"A real structural shift to an absolute target is genuine progress, but CAT rates it 'not 1.5°C compatible' and multiple outlets (Climate Home News, CFR) characterized the 7–10% figure as 'timid'/'underwhelming' for the world's largest emitter, with the 2060 net-zero date itself a decade later than AR6's net-zero-CO2 window.",Yes,Retain Figure 2 Class,Potential post-cut-off source/date,1,Reviewer 1,2026-08-07,Extended 35-cell diagnostic subset
GC-031,China,D3,Methane Reduction,Specific methane reduction commitment vs IPCC rapid methane reduction requirement,"2035 NDC (Nov 2025), non-CO2 GHG targets; China's Methane Emissions Control Action Plan (Nov 2023); 15th Five-Year Plan","The 2035 NDC covers all GHGs for the first time (previously CO2-only) and sets quantified non-CO2 targets — cutting HFC production/consumption by 'at least 30%' by 2035 and raising livestock manure reuse to over 85% by 2035 — but sets no standalone quantitative methane target. Climate Action Tracker (secondary): 'the absence of standalone quantitative targets for methane... limits accountability,' and China's 2023 Methane Action Plan 'does not specify any quantitative emission reduction' target at all. The 15th FYP's non-CO2 control projects (covering methane, N2O, HFCs together) target just 30 MtCO2e of reduction — small relative to China's methane footprint, especially unaddressed coal-mine methane.",IPCC AR6 Synthesis Report SPM B.6.2,1.5°C (>50%) no/limited-overshoot pathways: global methane emissions reduced 34% [21–57%] by 2030 relative to 2019.,0.65,Significant,Critical,High,"Despite years of bilateral commitments (2021 US-China Joint Glasgow Declaration) and a dedicated action plan, China has never published a quantified national methane target, and CAT explicitly flags coal-mine methane — a major, well-understood source — as still lacking dedicated measures. This is a clearer 'no quantified commitment' case than Canada's (which has a real 35%-by-2030 target) or even Brazil's (GMP membership at least sets a number).",Partly,Revise Class,Potential post-cut-off source/date,0,Reviewer 1,2026-08-07,Extended 35-cell diagnostic subset
GC-032,China,D4,Adaptation Finance,Quantified adaptation finance needs/commitments and conditionality,2035 NDC (Nov 2025) — 'climate adaptive society' language; National Climate Change Adaptation Strategy 2035 (2022),"The NDC states China will 'basically establish a climate adaptive society' by 2035, building on the 2022 National Climate Change Adaptation Strategy, with measures on monitoring/early warning, ecosystem and economic resilience, and urban resilience. Per Sino-German Cooperation on Climate Change (secondary), 'notably, no quantifiable targets are defined' for these adaptation measures — no domestic adaptation finance figure was found in the NDC or Strategy text.","IPCC AR6 WGII SPM C.3, C.5","AR6 WGII documents a widening adaptation finance gap; most tracked climate finance still goes to mitigation, and adaptation finance falls short of documented needs in developing countries.",0.65,Significant,Absent,Medium,"Unlike most other dimensions in China's 2035 NDC (which do carry real numbers), adaptation is explicitly qualitative only — multiple secondary sources converge on the same finding that no quantifiable domestic adaptation targets or finance figures exist, which matches the rubric's definition of 'Absent' for this dimension even though a named strategy exists.",Partly,Revise Class,Potential post-cut-off source/date,0,Reviewer 1,2026-08-07,Extended 35-cell diagnostic subset
GC-033,China,D5,Loss and Damage,"Loss and Damage finance needs, liability/compensation references, or related commitments","China South-South Climate Cooperation Fund (announced 2015, RMB 20bn/$3.1bn pledge); Xie Zhenhua COP27 statement (2022); WRI China climate finance study (2013–2022)","China has formally declined to pay into the UNFCCC Loss and Damage Fund, with climate envoy Xie Zhenhua stating at COP27 that China 'is not obliged to contribute' as a developing country. However, China does provide L&D-adjacent bilateral support — e.g., 'the $90 million USD that China has provided to flood-hit Pakistan in 2022' — and a broader South-South Climate Cooperation Fund pledge (RMB 20bn/$3.1bn, 2015), though delivery has lagged: 'China has so far delivered 10% of its promised... Fund, or 2 billion yuan' as of COP27 (secondary, Dialogue Earth). A separate WRI analysis found China provided/mobilized $45 billion (2013–2022, ~$4.5bn/yr) in broader climate finance to developing countries, not L&D-specific.",IPCC AR6 WGII SPM B,"AR6 WGII recognizes losses and damages as escalating, unequally distributed, and worsening with each increment of warming, with hard/soft adaptation limits already reached in some systems.",0.7,Significant,Significant,Medium,"Real, named, quantified bilateral L&D-adjacent aid exists (Pakistan flood response) alongside a large but significantly underdelivered multilateral pledge (~10% of $3.1bn delivered after 7 years) — genuine evidence, but well short of 'Aligned' given the delivery gap and China's explicit refusal to formally contribute to the UNFCCC L&D Fund itself.",Partly,Retain Figure 2 Class,,1,Reviewer 1,2026-08-07,Formal cut-off-compliant 8-cell subset
GC-034,China,D6,Transport Sector Targets,Transport electrification/modal shift/sector target vs IPCC transport mitigation pathway,"2035 NDC (Nov 2025), transport sectoral targets","NDC commits to making 'new energy vehicles the mainstream in new vehicle sales' by 2035 (no numeric share given), shifting bulk cargo/container freight to waterways and rail, developing multimodal transport systems, and promoting cleaner energy in shipping and aviation. Asia Society (secondary) notes the NEV-mainstream goal is one of the targets that has 'largely already been achieved,' suggesting low incremental ambition. No absolute transport-emissions or numeric electrification-share target is set.",IPCC AR6 WGIII Ch.10,1.5°C (no/limited overshoot) pathways require a 59% [42–68%] reduction in transport CO2 by 2050 vs modelled 2020 levels; light-duty-vehicle electrification is the leading near-term lever.,1,Absent,Not Comparable,Medium,"The system's default score (1.00 → 'Absent') doesn't match the evidence — real, if qualitative, transport commitments exist in the NDC (freight modal shift, NEV mainstreaming, shipping/aviation). But with no numeric target and 'largely already achieved' status per independent commentary, it cannot be meaningfully benchmarked against AR6's quantified 59%-by-2050 absolute-emissions metric.",Partly,Revise Class,Potential post-cut-off source/date,0,Reviewer 1,2026-08-07,Extended 35-cell diagnostic subset
GC-035,China,D7,LULUCF and Carbon Sinks,"Land-use commitments, sink accounting, additionality, and offsets",2035 NDC (Nov 2025) — forest stock volume and land targets,"NDC commits to forest stock volume exceeding 24 billion cubic meters by 2035 (already at ~21 billion m3 per 2025 progress, European Parliament briefing, secondary), forest coverage above 26%, soil/water conservation to 75%, and protection of at least 3.15 million km² under ecological redlines. Critically, the headline 7–10%-below-peak emissions target is a *net* figure: Climate Action Tracker (secondary) states the target 'applies to net emissions, including the LULUCF sector, which is a net carbon sink in China, as well as other forms of carbon removal, making the target less transparent.'",IPCC AR6 WGIII Ch.7 (AFOLU),"AFOLU can provide 20–30% of global mitigation needed for 1.5/2°C pathways to 2050 (~8–14 GtCO2e/yr economic potential), led by forest/ecosystem protection; the chapter flags long-term additionality and permanence uncertainty for land-sink-heavy strategies.",0.7,Significant,Significant,High,"China's forest-sink targets are quantified and have a track record of being met or exceeded (a stronger evidentiary position than Australia, Brazil, or Canada's LULUCF entries), but CAT's core objection — that blending a genuine forest sink into the headline 'net' emissions target obscures how much of the 7–10% reduction is gross cuts vs. sink accounting — is a real transparency concern that keeps this below 'Aligned.'",Yes,Retain Figure 2 Class,Potential post-cut-off source/date,1,Reviewer 1,2026-08-07,Extended 35-cell diagnostic subset
GC-036,EU,D1,Renewable Energy Targets,Share of renewable/non-fossil electricity or installed capacity vs IPCC electricity-share benchmark,"Renewable Energy Directive III (Directive (EU) 2023/2413, in force since 2023); 2035 NDC (submitted UNFCCC Nov 2025)","RED III sets a legally binding EU-wide target of at least 42.5% renewable energy share of gross final energy consumption by 2030 (aspiring to 45%), with sub-targets for transport, industry, heating/cooling and buildings, and a binding annual 1.6% increase in industrial renewable use. The 2035 NDC does not set an updated headline renewable-share figure of its own, relying on RED III's binding 2030 target as the operative benchmark.",IPCC AR6 WGIII Ch.6; SPM.3,1.5–<2°C pathways: low-carbon sources ~93–97% of global electricity by 2050.,0.6,Significant,Significant,High,"This is one of the most detailed, legally binding renewable frameworks reviewed (sector sub-targets, binding annual increases), but the metric (share of *total* energy, not electricity) differs from AR6's electricity-specific benchmark, and even the aspirational 45% figure leaves substantial headroom before matching AR6's 2050 electricity-decarbonisation trajectory.",Yes,Retain Figure 2 Class,,1,Reviewer 1,2026-08-07,Formal cut-off-compliant 8-cell subset
GC-037,EU,D2,Net Zero Pathway,"Net-zero target year, gases/sectors covered vs IPCC net-zero trajectory","2035 NDC (submitted UNFCCC Nov 2025); European Climate Law amendment (2040 target, Council position Nov 5, 2025)","NDC sets an indicative 2035 range of 66.25–72.5% below 1990 (derived from linear trajectories between the 2030 target of 55% and the 2050 net-zero goal), alongside a newly agreed 2040 target of 90% below 1990 (with up to 5 percentage points from international carbon credits from 2036, making the effective domestic target 85%). Climate neutrality by 2050 remains the anchor goal (European Climate Law).",IPCC AR6 Synthesis Report SPM B.6; WGIII Ch.3,"1.5°C (no/limited overshoot) pathways reach net-zero CO2 in the early 2050s, with GHG cuts of 43% [34–60%] by 2030 and 84% [73–98%] by 2050 vs 2019.",0.75,Significant,Significant,High,"Legally anchored, economy-wide pathway architecture is more developed than most peers, but Climate Action Tracker (secondary) rates it 'not 1.5°C compatible,' stating the EU would need at least 77% by 2035 and 90–95% domestic (excl. LULUCF) by 2040 — and criticises the 'linear trajectory' methodology itself as insufficiently front-loaded compared to a genuine 1.5°C pathway.",Yes,Retain Figure 2 Class,Potential post-cut-off source/date,1,Reviewer 1,2026-08-07,Extended 35-cell diagnostic subset
GC-038,EU,D3,Methane Reduction,Specific methane reduction commitment vs IPCC rapid methane reduction requirement,"EU Methane Regulation (Regulation (EU) 2024/1787, final approval May 2024); EU Methane Strategy (2020); Global Methane Pledge (co-launched with US, COP26 2021)","The EU adopted the first legally binding regulation specifically targeting methane emissions in the energy sector (oil, gas, coal), covering monitoring, reporting, verification, and leak detection/repair requirements. The EU also co-launched the Global Methane Pledge (30% cut vs 2020 by 2030, non-binding, collective). However, the binding regulation's scope is limited to the energy sector; no economy-wide quantified methane reduction target (covering agriculture and waste as well) was found in the NDC.",IPCC AR6 Synthesis Report SPM B.6.2,1.5°C (>50%) no/limited-overshoot pathways: global methane emissions reduced 34% [21–57%] by 2030 relative to 2019.,0.65,Significant,Significant,High,"Unlike most peers' voluntary pledges, the EU has actual binding law (not just a strategy or pledge) covering its largest methane source (energy sector). This is a stronger legal instrument than found elsewhere, but the absence of an economy-wide quantified target (agriculture is a major EU methane source not covered by this regulation) keeps it short of 'Aligned.'",Yes,Retain Figure 2 Class,Potential post-cut-off source/date,1,Reviewer 1,2026-08-07,Extended 35-cell diagnostic subset
GC-039,EU,D4,Adaptation Finance,Quantified adaptation finance needs/commitments and conditionality,EU Adaptation Strategy (2021); European Commission international climate finance page; 2035 NDC (Nov 2025),"The EU Adaptation Strategy quantifies the cost of inaction — current EU economic losses from climate-related extreme weather already exceed €12 billion/year, projected to reach at least €170 billion/year at 3°C warming — but primary implementation responsibility for adaptation stays with Member States, with the EU providing only 'enhanced proactive measures... to support them.' The EU and Member States together provided €28.5 billion in public climate finance plus €11.9 billion in mobilised private finance in 2022 (combined mitigation and adaptation, not adaptation-specific). Climate Action Tracker (secondary) notes the EU's 2035 NDC 'has not specified the amount of its planned international climate finance contributions.'","IPCC AR6 WGII SPM C.3, C.5","AR6 WGII documents a widening adaptation finance gap; most tracked climate finance still goes to mitigation, and adaptation finance falls short of documented needs in developing countries.",0.65,Significant,Significant,Medium,"Risk quantification (cost-of-inaction figures) is unusually rigorous, and overall climate finance volumes are large, but there is no adaptation-specific EU-level finance target, and CAT explicitly flags that the 2035 NDC itself omits a specified international finance contribution amount — a real, independently confirmed gap.",Partly,Retain Figure 2 Class,,1,Reviewer 1,2026-08-07,Formal cut-off-compliant 8-cell subset
GC-040,EU,D5,Loss and Damage,"Loss and Damage finance needs, liability/compensation references, or related commitments","COP28 outcomes (Dec 2023, European Commission/Consilium); Fund for Responding to Loss and Damage (established 2022)","The EU and its Member States led the initial capitalisation of the international Loss and Damage Fund, contributing more than €400 million — 'over two-thirds of the initial funding pledges' (European Commission, primary) — making the EU bloc the largest single contributor globally to the fund at its launch.",IPCC AR6 WGII SPM B,"AR6 WGII recognizes losses and damages as escalating, unequally distributed, and worsening with each increment of warming, with hard/soft adaptation limits already reached in some systems.",1,Absent,Significant,High,"This is the strongest, most concrete Loss and Damage evidence found among all countries reviewed so far — a specific, quantified, named contribution making up the clear majority of the fund's initial capitalisation. Held short of 'Aligned' only because €400 million remains modest relative to global L&D needs (estimated in the hundreds of billions annually).",Yes,Revise Class,,0,Reviewer 1,2026-08-07,Formal cut-off-compliant 8-cell subset
GC-041,EU,D6,Transport Sector Targets,Transport electrification/modal shift/sector target vs IPCC transport mitigation pathway,"EU CO2 emission performance standards for cars and vans (Regulation, revised April 2023 under Fit for 55); proposed Dec 2025 Commission amendment","Legally binding fleet-wide targets require new cars and vans to cut CO2 emissions 55%/50% respectively by 2030 (vs 2021), reaching 100% (zero-emission) from 2035 — effectively banning sales of new CO2-emitting cars and vans EU-wide. However, a December 2025 Commission proposal would weaken this, 'allow[ing] a range of vehicle technologies to remain in play, including hybrids, plug-in hybrids, and range extenders... in addition to full EVs and hydrogen vehicles' (ESG Today, secondary), rolling back the 100% zero-emission requirement currently under review by Parliament and Council.",IPCC AR6 WGIII Ch.10,1.5°C (no/limited overshoot) pathways require a 59% [42–68%] reduction in transport CO2 by 2050 vs modelled 2020 levels; light-duty-vehicle electrification is the leading near-term lever.,0,Aligned,Significant,High,"This is the most stringent, legally binding new-vehicle target reviewed among all countries so far (100% zero-emission new sales by 2035, not just a share/mandate), which is directionally very strong even though its metric (new-vehicle sales) differs from AR6's absolute-transport-emissions benchmark. Critically, this target is actively being weakened as of December 2025 — a live rollback risk that should be watched in any update.",Yes,Revise Class,,0,Reviewer 1,2026-08-07,Formal cut-off-compliant 8-cell subset
GC-042,EU,D7,LULUCF and Carbon Sinks,"Land-use commitments, sink accounting, additionality, and offsets",2035 NDC (Nov 2025); EU LULUCF Regulation (2030 sink target),"The EU maintains a separate, quantified LULUCF target of a 310 MtCO2 net sink by 2030, of which only 225 MtCO2 can be counted toward the overall 55% 2030 target (a partial-crediting cap, more rigorous than fully counting all sink gains). However, Climate Action Tracker (secondary) states the EU 'has not provided any LULUCF targets for 2035, nor 2040' — the exact horizon years covered by the current NDC and 2040 target.",IPCC AR6 WGIII Ch.7 (AFOLU),"AFOLU can provide 20–30% of global mitigation needed for 1.5/2°C pathways to 2050 (~8–14 GtCO2e/yr economic potential), led by forest/ecosystem protection; the chapter flags long-term additionality and permanence uncertainty for land-sink-heavy strategies.",0.7,Significant,Significant,High,"The 2030 accounting design (a hard cap on how much of the sink can count toward the target) is more rigorous than most peers' 'net' approaches, but the complete absence of any LULUCF target for 2035 or 2040 — right when the EU's headline 66.25–72.5% and 90% targets apply — is a real, independently flagged transparency gap that prevents a fuller alignment rating.",Partly,Retain Figure 2 Class,Potential post-cut-off source/date,1,Reviewer 1,2026-08-07,Extended 35-cell diagnostic subset
GC-043,India,D1,Renewable Energy Targets,Share of renewable/non-fossil electricity or installed capacity vs IPCC electricity-share benchmark,"India's NDC (2031-2035), submitted UNFCCC April 24, 2026, Union Cabinet approval March 25, 2026","NDC commits to 60% of installed electric power capacity from non-fossil sources by 2035 (up from a 50% target for 2030, which India already reached five years early — 52.57% as of Feb 2026). India also met its first NDC's 40% target nine years ahead of schedule. However, per Climate Action Tracker (secondary), 'non-fossil fuel sources now account for more than 50% of India's installed power capacity, [but] they contribute to less than 30% of actual electricity generated' — coal still supplies 70–75% of actual generation due to intermittency and grid/storage constraints.",IPCC AR6 WGIII Ch.6; SPM.3,1.5–<2°C pathways: low-carbon sources ~93–97% of global electricity by 2050.,0.7,Significant,Significant,High,"India has the strongest track record of any country reviewed for hitting (and beating) its own renewable capacity targets early, but the capacity-vs-generation gap is a genuine structural caveat — installed non-fossil capacity is not yet translating into a comparable share of actual electricity generated, and CAT separately rates the prior 50%-by-2030 target 'Highly insufficient' against a 1.5°C-modelled pathway.",Yes,Retain Figure 2 Class,Potential post-cut-off source/date,1,Reviewer 1,2026-08-07,Extended 35-cell diagnostic subset
GC-044,India,D2,Net Zero Pathway,"Net-zero target year, gases/sectors covered vs IPCC net-zero trajectory","India's NDC (2031-2035), April 2026; net-zero-by-2070 announcement (COP26, 2021)","NDC sets an emissions-*intensity* target (GHG per unit of GDP) of 47% below 2005 levels by 2035, up from 45% by 2030 (already at 36% as of 2020), covering all sectors and gases. Net-zero remains targeted for 2070. Per Carbon Brief (secondary), 'by setting an intensity target, India would be able to continue increasing its emissions as its economy grows' — there is no absolute, economy-wide GHG target. Climate Action Tracker (secondary) states the 2022 NDC 'will not drive real world emission reductions beyond its current level of climate action' and explicitly recommends India 'adopt a national, economy-wide GHG emissions target.'",IPCC AR6 Synthesis Report SPM B.6; WGIII Ch.3,"1.5°C (no/limited overshoot) pathways reach net-zero CO2 in the early 2050s, with GHG cuts of 43% [34–60%] by 2030 and 84% [73–98%] by 2050 vs 2019.",0.7,Significant,Critical,High,"This assessment strictly compares India's pathway design to the global AR6 benchmark, as the workbook rubric specifies — it does not apply an equity/fair-share adjustment for India's developing-country status and low per-capita emissions, which India itself invokes (CBDR-RC) as the basis for its 2070 date and intensity-based design. On the literal benchmark comparison, CAT's own assessment that the target structurally 'will not drive real world emission reductions' as the economy grows is a strong, direct signal of gap severity independent of the equity debate.",Yes,Revise Class,Potential post-cut-off source/date,0,Reviewer 1,2026-08-07,Extended 35-cell diagnostic subset
GC-045,India,D3,Methane Reduction,Specific methane reduction commitment vs IPCC rapid methane reduction requirement,"India's NDC (2031-2035), April 2026; Global Methane Pledge (non-signatory status)","India's NDC contains no standalone quantified methane target; methane is only implicitly covered within the aggregate emissions-intensity metric (per Carbon Brief, the intensity target 'covers all gases... such as methane and nitrous oxide'). Climate Action Tracker (secondary, 2023) states plainly: 'India is amongst one of the few top methane emitters, along with China and Russia, that has not signed the Global Methane Pledge.' Ember (secondary) separately notes coal-mine methane abatement remains a largely untapped 'low-hanging opportunity' with no dedicated policy found.",IPCC AR6 Synthesis Report SPM B.6.2,1.5°C (>50%) no/limited-overshoot pathways: global methane emissions reduced 34% [21–57%] by 2030 relative to 2019.,0.85,Critical,Absent,High,"Unlike every other country reviewed so far, India has neither a national quantified methane target nor even a voluntary pledge-level commitment (GMP membership) — this is the clearest 'no relevant commitment found' case among the countries reviewed, matching the rubric's definition of Absent.",Yes,Revise Class,Potential post-cut-off source/date,0,Reviewer 1,2026-08-07,Extended 35-cell diagnostic subset
GC-046,India,D4,Adaptation Finance,Quantified adaptation finance needs/commitments and conditionality,"India's NDC (2031-2035), April 2026; Green Climate Fund / GEF / Adaptation Fund disbursements to India (secondary, Greenpeace India)","Carbon Brief (secondary) states plainly: 'the 1,200-word press release announcing the approval of India's new NDC for 2035 is thin on detail. For example, it did not spell out any climate-finance needs for adaptation, mitigation or climate change-induced loss and damage.' The NDC text itself states commitments 'are contingent upon the receipt of due support, including its due share of international climate finance.' As a recipient (not provider), India has received cumulative international support including USD 803.9 million from the Green Climate Fund, USD 346.52 million from the GEF, and USD 16.86 million from the Adaptation Fund — described by Greenpeace India (secondary) as 'modest compared to the challenges at hand.'","IPCC AR6 WGII SPM C.3, C.5","AR6 WGII documents a widening adaptation finance gap; most tracked climate finance still goes to mitigation, and adaptation finance falls short of documented needs in developing countries.",0.65,Significant,Absent,High,"Multiple independent sources converge on the same finding: India's NDC explicitly does not quantify adaptation finance needs or commitments, unlike most dimensions in the same NDC (which do carry real numbers). This matches the rubric's definition of Absent even though India does receive (modest) international adaptation finance through existing multilateral funds outside the NDC text itself.",Partly,Revise Class,Potential post-cut-off source/date,0,Reviewer 1,2026-08-07,Extended 35-cell diagnostic subset
GC-047,India,D5,Loss and Damage,"Loss and Damage finance needs, liability/compensation references, or related commitments","India's NDC (2031-2035), April 2026","As with adaptation finance, Carbon Brief (secondary) confirms India's NDC 'did not spell out any climate-finance needs for... climate change-induced loss and damage' — despite India's own high vulnerability (a cited 55% rise in heat-related deaths 2000–2020 and over 80% of districts facing extreme climate risk, per secondary sources). No L&D finance need, liability reference, or related commitment was found in the NDC text.",IPCC AR6 WGII SPM B,"AR6 WGII recognizes losses and damages as escalating, unequally distributed, and worsening with each increment of warming, with hard/soft adaptation limits already reached in some systems.",1,Absent,Absent,High,"No relevant NDC commitment found — directly confirmed by independent analysis, matching the rubric's definition of Absent. Notably, this is a case where a highly climate-vulnerable country's own NDC omits any L&D framing at all, in contrast to several developed-country NDCs reviewed that at least reference international L&D contributions or facilities.",Yes,Retain Figure 2 Class,Potential post-cut-off source/date,1,Reviewer 1,2026-08-07,Extended 35-cell diagnostic subset
