Question Number,Question ID,Category,Difficulty,Question,Source Document Hint,Author-Prepared Reference Answer
68,G013,GAP DETECTION,HARD,What implementation gaps exist between Mexico's NDC2 stated targets and its domestic policy framework?,NDC2_2022_Mexico,"Mexico's NDC2 targets 35% unconditional GHG reduction by 2030. However, Mexico's domestic energy policy under the 2021-2024 administration reversed renewable energy expansion in favour of state oil company PEMEX and state electricity utility CFE. Mexico's actual renewable energy share declined in 2019-2022. This creates a significant implementation gap between NDC2 pledges and domestic policy direction. The NDC2 text does not reference specific domestic legislation anchoring the targets."
69,G014,GAP DETECTION,HARD,Which sectors required for deep decarbonisation by IPCC AR6 are missing from Russia's NDC2?,NDC2_2022_Russia,Russia's NDC2 focuses primarily on economy-wide emission reduction through efficiency improvements and LULUCF. Missing elements relative to IPCC AR6 requirements include: (1) No renewable energy targets — Russia relies primarily on nuclear and gas. (2) No transport electrification targets. (3) No industrial process decarbonisation roadmap. (4) No methane reduction target despite Russia being one of the world's largest methane emitters from oil and gas operations. IPCC AR6 WG3 identifies all these sectors as requiring deep decarbonisation.
70,G015,GAP DETECTION,HARD,"Does South Korea's 2030 target of 40% below 2018 BAU align with IPCC requirements for developed economies, and what specific gaps exist?",NDC2_2021_South_Korea,"South Korea's 40% below 2018 BAU target converts to approximately 24% below actual 2018 emission levels (as BAU is higher than actual). IPCC AR6 recommends approximately 50% below current levels for developed economies by 2030. Specific gaps in South Korea's NDC2: (1) Heavy reliance on LNG as transition fuel without a phase-out date. (2) No explicit coal phase-out year despite coal representing 40% of electricity. (3) Nuclear power counts toward non-fossil targets, potentially masking renewable energy gaps. GAP: The effective reduction below actual emissions falls short of IPCC guidance for an advanced economy."
71,G016,GAP DETECTION,HARD,Assess the gap between G20 NDC2 carbon capture and storage (CCS) commitments and IPCC AR6 recommendations for CCS deployment.,WG3_Chapter06_EnergySystems_2022,IPCC AR6 WG3 identifies CCS as potentially contributing 1.5-9.5 GtCO2 per year by 2050 in various mitigation pathways. Most G20 NDC2 submissions do not specify CCS deployment targets. Saudi Arabia mentions circular carbon economy including carbon capture but without specific capacity targets. The USA references CCS in its clean energy strategy. Japan mentions CCS as part of its decarbonisation roadmap. No G20 NDC2 includes a CCS deployment target in GtCO2. GAP: Substantial disconnect between IPCC's role for CCS and actual NDC2 CCS commitments.
73,G018,GAP DETECTION,HARD,"What is the collective conditional versus unconditional gap across G20 NDC2 developing nations, and what does this mean for global ambition?",NDC2_2022_Indonesia,"Indonesia (31.89% vs 43.20%), Mexico (35% vs 40%), and India (all targets conditional) represent the largest conditional gaps among G20 developing nations. If only unconditional targets are achieved, the collective emissions reduction is substantially less than if conditional targets are met. The gap between conditional and unconditional G20 NDC2 targets represents approximately 2-4 GtCO2e per year in 2030 emissions. This gap is primarily a finance and technology transfer gap, not an ambition gap in the developing nations' own commitments."
74,G019,GAP DETECTION,HARD,Assess the gap between G20 NDC2 industrial decarbonisation commitments and IPCC AR6 guidance for heavy industry.,WG3_Chapter06_EnergySystems_2022,"IPCC AR6 WG3 identifies steel, cement, and chemicals as requiring deep decarbonisation through electrification, hydrogen, and CCS. Few G20 NDC2 submissions provide sector-specific industrial decarbonisation targets. Japan's NDC2 references the Green Innovation Fund for industrial transformation. South Korea mentions industrial sector efficiency. The EU references the Industrial Strategy and Carbon Border Adjustment Mechanism. China, India, Brazil, and most other G20 nations treat industry under economy-wide targets without sector-level quantification. GAP: Industrial decarbonisation is systematically absent from most G20 NDC2 texts."
75,G020,GAP DETECTION,HARD,How does the distribution of G20 NDC2 ambition levels relate to historical cumulative emissions and the equity principle in IPCC AR6?,WG3_Chapter04_MitigationDevelopmentPathways_2022,"IPCC AR6 WG3 Chapter 4 states that equity requires countries with higher historical cumulative emissions and greater financial capacity to reduce faster. The USA, EU, UK, and Russia have the highest historical cumulative emissions. Yet Russia's and Australia's targets are rated insufficient by Climate Action Tracker. The USA and EU have more ambitious 2030 targets. India and Indonesia have low per-capita historical emissions but face development pressures. IPCC finds current NDCs do not reflect equity considerations adequately, with insufficient effort from historically high emitters."
76,G021,GAP DETECTION,HARD,"Which G20 NDC2 submissions address fossil fuel subsidies, and how does this compare to IPCC guidance?",WG3_SPM_2022,"IPCC AR6 WG3 identifies elimination of fossil fuel subsidies as a key near-term mitigation measure. Among G20 NDC2 submissions, most do not mention fossil fuel subsidies at all. Canada's NDC2 references its commitment to phase out inefficient fossil fuel subsidies. The UK references the Green Finance Taxonomy. No G20 NDC2 provides a specific fossil fuel subsidy phase-out timeline with amounts. Saudi Arabia, Russia, and Mexico do not mention fossil fuel subsidies. GAP: Despite IPCC urgency, fossil fuel subsidy elimination is systematically absent from G20 NDC2 texts."
77,G022,GAP DETECTION,MEDIUM,"Which G20 countries in the corpus have net zero targets in their NDC2 and which do not, and how does this compare to IPCC's 2050 requirement?",WG3_SPM_2022,"G20 countries WITH net zero targets in NDC2: UK (2050), EU (2050), Canada (2050), Japan (2050), South Korea (2050), Australia (2050), Brazil (2050 in updated 2023 NDC). G20 countries WITHOUT explicit net zero year in NDC2: India (no year in NDC2), China (2060 — beyond IPCC 2050), Russia (no net zero year), Saudi Arabia (no net zero year), Indonesia (carbon neutrality aspirationally by 2060 but not in NDC2 text), Mexico (not specified), Argentina (not specified). GAP: Over half of G20 nations lack NDC2-embedded net zero commitments consistent with IPCC's 2050 requirement."
78,G023,GAP DETECTION,HARD,What is the gap between G20 NDC2 food system commitments and IPCC AR6 recommendations for sustainable food systems?,WG3_Chapter06_EnergySystems_2022,"IPCC AR6 WG3 identifies food systems as contributing 23-42% of global GHG emissions and requiring systemic transformation including dietary shifts. G20 NDC2 submissions largely treat agriculture as mitigation and adaptation but do not address food system transformation. Brazil references sustainable agriculture but focuses on crop productivity. India addresses agricultural adaptation (drought, flood resilience) not dietary transition. No G20 NDC2 includes dietary shift policies or food waste reduction targets linked to GHG reductions. GAP: Food system transformation is essentially absent from G20 NDC2 submissions despite IPCC urgency."
80,G025,GAP DETECTION,HARD,Summarise the three most critical gaps between the collective G20 NDC2 ambition and IPCC AR6 1.5 degree pathway requirements.,SYR_FullVolume_2023,"Three critical gaps between G20 NDC2 collective ambition and IPCC 1.5°C requirements: (1) TIMELINE GAP: Collective G20 NDC2 implementation leads to approximately 2.5°C warming, not 1.5°C. Current pledges represent only 43% of the mitigation needed by 2030. (2) SECTOR GAP: Most NDC2 submissions rely on economy-wide targets without sector-specific decarbonisation roadmaps for industry, transport, and food systems as IPCC requires. (3) FINANCE GAP: The conditional-unconditional gap in developing nations' NDC2 commitments cannot be closed without climate finance that is not committed in any developed nation's NDC2 text. These three gaps are interconnected and mutually reinforcing."
