Cell ID,Entity,Dimension Code,Policy Dimension,What to Assess,NDC Source/Page,NDC Evidence Excerpt,IPCC Source/Page,IPCC Evidence Excerpt,Figure 2 System Score,Figure 2 System Class,Human Classification,Human Confidence,Reviewer Rationale,Evidence Sufficient?,Suggested Action,Cut-off Flag,Exact Match,Reviewer ID,Review Date,Review Scope
GC-044,India,D2,Net Zero Pathway,"Net-zero target year, gases/sectors covered vs IPCC net-zero trajectory","India's NDC (2031-2035), April 2026; net-zero-by-2070 announcement (COP26, 2021)","NDC sets an emissions-*intensity* target (GHG per unit of GDP) of 47% below 2005 levels by 2035, up from 45% by 2030 (already at 36% as of 2020), covering all sectors and gases. Net-zero remains targeted for 2070. Per Carbon Brief (secondary), 'by setting an intensity target, India would be able to continue increasing its emissions as its economy grows' — there is no absolute, economy-wide GHG target. Climate Action Tracker (secondary) states the 2022 NDC 'will not drive real world emission reductions beyond its current level of climate action' and explicitly recommends India 'adopt a national, economy-wide GHG emissions target.'",IPCC AR6 Synthesis Report SPM B.6; WGIII Ch.3,"1.5°C (no/limited overshoot) pathways reach net-zero CO2 in the early 2050s, with GHG cuts of 43% [34–60%] by 2030 and 84% [73–98%] by 2050 vs 2019.",0.7,Significant,Critical,High,"This assessment strictly compares India's pathway design to the global AR6 benchmark, as the workbook rubric specifies — it does not apply an equity/fair-share adjustment for India's developing-country status and low per-capita emissions, which India itself invokes (CBDR-RC) as the basis for its 2070 date and intensity-based design. On the literal benchmark comparison, CAT's own assessment that the target structurally 'will not drive real world emission reductions' as the economy grows is a strong, direct signal of gap severity independent of the equity debate.",Yes,Revise Class,Potential post-cut-off source/date,0,Reviewer 1,2026-08-07,Extended 35-cell diagnostic subset
GC-045,India,D3,Methane Reduction,Specific methane reduction commitment vs IPCC rapid methane reduction requirement,"India's NDC (2031-2035), April 2026; Global Methane Pledge (non-signatory status)","India's NDC contains no standalone quantified methane target; methane is only implicitly covered within the aggregate emissions-intensity metric (per Carbon Brief, the intensity target 'covers all gases... such as methane and nitrous oxide'). Climate Action Tracker (secondary, 2023) states plainly: 'India is amongst one of the few top methane emitters, along with China and Russia, that has not signed the Global Methane Pledge.' Ember (secondary) separately notes coal-mine methane abatement remains a largely untapped 'low-hanging opportunity' with no dedicated policy found.",IPCC AR6 Synthesis Report SPM B.6.2,1.5°C (>50%) no/limited-overshoot pathways: global methane emissions reduced 34% [21–57%] by 2030 relative to 2019.,0.85,Critical,Absent,High,"Unlike every other country reviewed so far, India has neither a national quantified methane target nor even a voluntary pledge-level commitment (GMP membership) — this is the clearest 'no relevant commitment found' case among the countries reviewed, matching the rubric's definition of Absent.",Yes,Revise Class,Potential post-cut-off source/date,0,Reviewer 1,2026-08-07,Extended 35-cell diagnostic subset
GC-046,India,D4,Adaptation Finance,Quantified adaptation finance needs/commitments and conditionality,"India's NDC (2031-2035), April 2026; Green Climate Fund / GEF / Adaptation Fund disbursements to India (secondary, Greenpeace India)","Carbon Brief (secondary) states plainly: 'the 1,200-word press release announcing the approval of India's new NDC for 2035 is thin on detail. For example, it did not spell out any climate-finance needs for adaptation, mitigation or climate change-induced loss and damage.' The NDC text itself states commitments 'are contingent upon the receipt of due support, including its due share of international climate finance.' As a recipient (not provider), India has received cumulative international support including USD 803.9 million from the Green Climate Fund, USD 346.52 million from the GEF, and USD 16.86 million from the Adaptation Fund — described by Greenpeace India (secondary) as 'modest compared to the challenges at hand.'","IPCC AR6 WGII SPM C.3, C.5","AR6 WGII documents a widening adaptation finance gap; most tracked climate finance still goes to mitigation, and adaptation finance falls short of documented needs in developing countries.",0.65,Significant,Absent,High,"Multiple independent sources converge on the same finding: India's NDC explicitly does not quantify adaptation finance needs or commitments, unlike most dimensions in the same NDC (which do carry real numbers). This matches the rubric's definition of Absent even though India does receive (modest) international adaptation finance through existing multilateral funds outside the NDC text itself.",Partly,Revise Class,Potential post-cut-off source/date,0,Reviewer 1,2026-08-07,Extended 35-cell diagnostic subset
GC-047,India,D5,Loss and Damage,"Loss and Damage finance needs, liability/compensation references, or related commitments","India's NDC (2031-2035), April 2026","As with adaptation finance, Carbon Brief (secondary) confirms India's NDC 'did not spell out any climate-finance needs for... climate change-induced loss and damage' — despite India's own high vulnerability (a cited 55% rise in heat-related deaths 2000–2020 and over 80% of districts facing extreme climate risk, per secondary sources). No L&D finance need, liability reference, or related commitment was found in the NDC text.",IPCC AR6 WGII SPM B,"AR6 WGII recognizes losses and damages as escalating, unequally distributed, and worsening with each increment of warming, with hard/soft adaptation limits already reached in some systems.",1,Absent,Absent,High,"No relevant NDC commitment found — directly confirmed by independent analysis, matching the rubric's definition of Absent. Notably, this is a case where a highly climate-vulnerable country's own NDC omits any L&D framing at all, in contrast to several developed-country NDCs reviewed that at least reference international L&D contributions or facilities.",Yes,Retain Figure 2 Class,Potential post-cut-off source/date,1,Reviewer 1,2026-08-07,Extended 35-cell diagnostic subset
GC-048,India,D6,Transport Sector Targets,Transport electrification/modal shift/sector target vs IPCC transport mitigation pathway,"PM E-DRIVE scheme (successor to FAME I/II, launched 2024); COP26 100% EVs declaration (signed by India, 2021)","India signed the COP26 100% EVs declaration with a focus on two- and three-wheelers, and separately has floated a plan for all two-wheelers to be electric by 2026. PM E-DRIVE provides INR 36.79 billion (USD 438 million) in incentives for battery-powered two/three-wheelers, ambulances, trucks and other EVs, following FAME I/II's INR 100bn+115bn outlay. However, Climate Action Tracker (secondary) notes 'overall adoption of EV is slow,' and separately flags that 'plans to shift long-haul trucks to LNG risk locking in fossil fuel use.' No absolute transport-sector emissions target or economy-wide electrification-share target was found in the NDC itself.",IPCC AR6 WGIII Ch.10,1.5°C (no/limited overshoot) pathways require a 59% [42–68%] reduction in transport CO2 by 2050 vs modelled 2020 levels; light-duty-vehicle electrification is the leading near-term lever.,1,Absent,Not Comparable,Medium,"The system's default score (1.00 → 'Absent') undersells real, quantified financial incentive programs and an ambitious (if informal) two-wheeler EV target. But none of this is expressed as an absolute transport-emissions or economy-wide electrification-share figure comparable to AR6's 59%-by-2050 metric, and the concurrent LNG-truck lock-in risk cuts against the incentive schemes' net direction.",Partly,Revise Class,,0,Reviewer 1,2026-08-07,Formal cut-off-compliant 8-cell subset
GC-049,India,D7,LULUCF and Carbon Sinks,"Land-use commitments, sink accounting, additionality, and offsets","India's NDC (2031-2035), April 2026","NDC commits to an additional carbon sink of 3.5–4.0 billion tonnes CO2e through enhanced forest and tree cover by 2035, up from the prior 2.5–3.0 billion tonne target for 2030. As of 2025, India reports having already created 2.29 billion tonnes CO2e of additional sink since 2005, putting the 2030 milestone within close reach. Notably, per Climate Action Tracker (secondary, 2023), 'India did not sign up to the COP26 forest declaration' on halting and reversing forest loss by 2030, a separate international commitment.",IPCC AR6 WGIII Ch.7 (AFOLU),"AFOLU can provide 20–30% of global mitigation needed for 1.5/2°C pathways to 2050 (~8–14 GtCO2e/yr economic potential), led by forest/ecosystem protection; the chapter flags long-term additionality and permanence uncertainty for land-sink-heavy strategies.",0.7,Significant,Significant,High,"This is a well-quantified, separately tracked (not blended into a 'net' headline figure) sink target with credible progress data, a stronger transparency position than most peers reviewed. It falls short of 'Aligned' mainly because it is not benchmarked against AR6's AFOLU mitigation-share methodology, and continued coal expansion elsewhere in India's energy system means the sink target is not paired with a corresponding absolute-emissions constraint.",Yes,Retain Figure 2 Class,Potential post-cut-off source/date,1,Reviewer 1,2026-08-07,Extended 35-cell diagnostic subset
GC-085,South Africa,D1,Renewable Energy Targets,Share of renewable/non-fossil electricity or installed capacity vs IPCC electricity-share benchmark,South Africa's Second NDC (submitted UNFCCC Oct 2025); Integrated Resource Plan (IRP) 2025,"The NDC itself states a total of 44 GW of new renewable energy capacity will be installed by 2035, 'thus contributing to green industrialization and helping to achieve the mitigation targets in this second NDC' — a quantified target embedded directly in the NDC text, not a separate side-document. This is further backed by the Just Energy Transition Partnership (JETP), which secured financing for 15 GW of renewable energy beyond the IRP baseline. However, as of 2025, just over 74% of South Africa's electricity still comes from burning coal (allAfrica/academic analysis, secondary).",IPCC AR6 WGIII Ch.6; SPM.3,1.5–<2°C pathways: low-carbon sources ~93–97% of global electricity by 2050.,0.6,Significant,Significant,High,"This is one of the more concrete D1 cases reviewed — a specific capacity target embedded directly in the NDC text (rather than deferred to a side energy policy) with real, quantified international financial backing via the JETP. It falls short of full alignment given coal still supplies roughly three-quarters of current generation.",Yes,Retain Figure 2 Class,Potential post-cut-off source/date,1,Reviewer 1,2026-08-07,Extended 35-cell diagnostic subset
GC-086,South Africa,D2,Net Zero Pathway,"Net-zero target year, gases/sectors covered vs IPCC net-zero trajectory",South Africa's Second NDC (Oct 2025); Low-Emission Development Strategy (LEDS),"NDC sets an absolute, economy-wide target of 320–380 MtCO2e by 2035, in line with net zero by 2050 (LEDS). Climate Action Tracker (secondary) explicitly praises the NDC's structure: it 'incorporates many criteria which the CAT considers to be good practice, such as setting economy-wide targets and in absolute emission levels,' and estimates the new target is 'close to, but not fully aligned with, a 1.5°C compatible trajectory.' However, CAT also finds 'the gap between the target range... to a fully aligned 1.5 pathway has widened with the new 2035 targets, compared to the 2030 targets which fall almost entirely within the 1.5°C aligned pathway.' South Africa's own Presidential Climate Commission argued the government 'could credibly aim to reduce its carbon emissions by around 25–30% more between 2030 and 2035' (secondary, academic analysis).",IPCC AR6 Synthesis Report SPM B.6; WGIII Ch.3,"1.5°C (no/limited overshoot) pathways reach net-zero CO2 in the early 2050s, with GHG cuts of 43% [34–60%] by 2030 and 84% [73–98%] by 2050 vs 2019.",0.7,Significant,Significant,High,"This is among the best-structured NDCs reviewed by CAT's own standard (absolute, economy-wide, good-practice design) and is genuinely 'close to' 1.5°C alignment — stronger than most peers. It falls short of 'Aligned' because the government scaled back from its own scientific advisory body's recommendation, and the gap to full alignment widened rather than narrowed relative to the 2030 target.",Yes,Retain Figure 2 Class,Potential post-cut-off source/date,1,Reviewer 1,2026-08-07,Extended 35-cell diagnostic subset
GC-087,South Africa,D3,Methane Reduction,Specific methane reduction commitment vs IPCC rapid methane reduction requirement,South Africa's Second NDC (Oct 2025); Global Methane Pledge (membership status unclear),"No specific quantified methane reduction target was found in the NDC text reviewed. South Africa's methane emissions grew 30% between 1990–2019 to 61 MtCO2e/yr (Climate Transparency, secondary), with agriculture the largest source (49% of the total in 2019, down from 72% in 1990). South Africa's Global Methane Pledge membership status could not be confirmed either way across the sources reviewed.",IPCC AR6 Synthesis Report SPM B.6.2,1.5°C (>50%) no/limited-overshoot pathways: global methane emissions reduced 34% [21–57%] by 2030 relative to 2019.,0.85,Critical,Absent,Medium,"No quantified methane commitment was found despite active searching, matching the rubric's definition of Absent — though confidence is Medium rather than High because South Africa's Global Methane Pledge membership status specifically could not be confirmed one way or the other, and should be checked against the primary NDC or a GMP member list before finalizing.",Partly,Revise Class,Potential post-cut-off source/date,0,Reviewer 1,2026-08-07,Extended 35-cell diagnostic subset
GC-088,South Africa,D4,Adaptation Finance,Quantified adaptation finance needs/commitments and conditionality,"South Africa's Second NDC (Oct 2025); Just Energy Transition Partnership (JETP, COP26 2021) and Just Energy Transition Investment Plan (JET IP, 2023–2027)","The NDC states an estimated total investment of ZAR 3.47 trillion (~USD 201.6bn) is needed for mitigation projects to achieve the 2035 target range, though Climate Action Tracker (secondary) notes 'it does not state how much of this total investment figure should be met by international support.' Separately, the JETP secured an initial USD 8.5–9.3bn commitment (2023–2027) from France, Germany, the UK, US and EU, with a detailed Investment Plan covering electricity, New Energy Vehicles, and green hydrogen. The NDC also includes 'the country's first adaptation communication with elaborated measures on adaptation' (UNDP Climate Promise, secondary), though no adaptation-specific dollar figure was found (JETP funding is primarily mitigation/just-transition focused).","IPCC AR6 WGII SPM C.3, C.5","AR6 WGII documents a widening adaptation finance gap; most tracked climate finance still goes to mitigation, and adaptation finance falls short of documented needs in developing countries.",0.65,Significant,Significant,Medium,"South Africa has an unusually high level of financial transparency and planning detail compared to most peers reviewed (a specific total investment figure, a multi-year internationally-backed investment plan, and a formal adaptation communication), but true adaptation-specific finance figures remain elusive — the large quantified figures found are mitigation/transition-focused, consistent with the pattern seen across most other countries in this review.",Partly,Retain Figure 2 Class,Potential post-cut-off source/date,1,Reviewer 1,2026-08-07,Extended 35-cell diagnostic subset
GC-089,South Africa,D5,Loss and Damage,"Loss and Damage finance needs, liability/compensation references, or related commitments","South Africa's Second NDC (Oct 2025), primary text","The NDC directly and explicitly addresses loss and damage: 'South Africa expects a fair share of international climate finance, to be provided by the Fund for Responding to Loss and Damage (FRLD). Getting the FRLD, established in 2023, well-resourced, with effective mechanisms to claim and disburse monies in a timely manner to those worst impacted is a priority for South Africa.' This is a direct, named, primary-document statement of priority — framed as a recipient-country expectation rather than a quantified financial figure.",IPCC AR6 WGII SPM B,"AR6 WGII recognizes losses and damages as escalating, unequally distributed, and worsening with each increment of warming, with hard/soft adaptation limits already reached in some systems.",0,Aligned,Significant,High,"The system's default score (1.00 → 'Absent') doesn't match the evidence — the NDC contains an explicit, named loss-and-damage section identifying the FRLD as a priority, a stronger and more direct textual commitment than found in several other countries' NDCs reviewed in this exercise, even though it is a stated expectation of support rather than a quantified financial pledge.",Yes,Revise Class,Potential post-cut-off source/date,0,Reviewer 1,2026-08-07,Extended 35-cell diagnostic subset
GC-090,South Africa,D6,Transport Sector Targets,Transport electrification/modal shift/sector target vs IPCC transport mitigation pathway,"Electric Vehicle (EV) White Paper (Department of Trade, Industry and Competition, dtic.gov.za); Just Energy Transition Partnership (New Energy Vehicles priority area)","The EV White Paper sets an explicit target: by 2035, South Africa's vehicle production and consumption mix will shift to approximately 75% EV / 25% internal combustion engine (ICE) vehicles, aligned with (and citing) the same global sales projection used in the document (new ICE sales projected to fall to ~25% of the global total by 2035). This target is also linked to the Just Energy Transition Partnership, which names New Energy Vehicles as one of three JETP priority sectors alongside electricity and green hydrogen. Transport represented ~11% of South Africa's total GHG emissions in 2022 (excl. LULUCF), overwhelmingly from road transport (Climate Action Tracker, secondary, citing the 2024 National Inventory Report).",IPCC AR6 WGIII Ch.10,1.5°C (no/limited overshoot) pathways require a 59% [42–68%] reduction in transport CO2 by 2050 vs modelled 2020 levels; light-duty-vehicle electrification is the leading near-term lever.,0,Aligned,Significant,Medium,"This is among the more specific, numerically ambitious transport targets reviewed (a 75% EV sales-share goal by 2035, directly tied to international JETP financing), comparable in specificity to Canada's or the EU's vehicle targets. Confidence is Medium rather than High because the EV White Paper functions as a strategic 'vision' document rather than confirmed binding regulation, and the metric (vehicle sales share) still differs from AR6's absolute transport-emissions benchmark.",Partly,Retain Figure 2 Class,,0,Reviewer 1,2026-08-07,Formal cut-off-compliant 8-cell subset
GC-091,South Africa,D7,LULUCF and Carbon Sinks,"Land-use commitments, sink accounting, additionality, and offsets",South Africa's Second NDC (Oct 2025); 2024 Biennial Transparency Report; National Forests Amendment Act (2022),"South Africa's Forestry and Other Land Use (FOLU) sector is a genuine, verified, and growing net sink — over 25 MtCO2e in 2020, rising to more than 40 MtCO2e in 2022 per the 2024 Biennial Transparency Report (Climate Action Tracker, secondary, citing DFFE data). The National Forests Amendment Act (2022) supports sector sustainability, and ongoing programmes cover afforestation, forest/woodland restoration, and grassland rehabilitation. Notably, the NDC explicitly excludes emissions from 'natural disturbances in the land sector' from its total net GHG figure — a transparency-positive design choice CAT contrasts favorably with countries that inflate sink figures. CAT does recommend the NDC 'could be further strengthened by clearly separating out LULUCF emissions' as a standalone line item.",IPCC AR6 WGIII Ch.7 (AFOLU),"AFOLU can provide 20–30% of global mitigation needed for 1.5/2°C pathways to 2050 (~8–14 GtCO2e/yr economic potential), led by forest/ecosystem protection; the chapter flags long-term additionality and permanence uncertainty for land-sink-heavy strategies.",1,Absent,Significant,High,"This is one of the more credible, methodologically transparent LULUCF cases reviewed — a verified, growing, officially-reported net sink with supporting legislation, and CAT specifically cites South Africa's exclusion of natural-disturbance emissions as good practice (the opposite of Russia's inflated-sink approach). It stops short of 'Aligned' only because CAT's own recommendation — a fully separated LULUCF target line — has not yet been implemented.",Yes,Retain Figure 2 Class,Potential post-cut-off source/date,0,Reviewer 1,2026-08-07,Extended 35-cell diagnostic subset
