Question Number,Question ID,Category,Question,Reviewer Answer,Agreement Label,Reviewer Notes,Reviewer ID,Adjudication Status
41,C011,COMPARATIVE,Compare the greenhouse gas scope coverage between Saudi Arabia's NDC2 and South Africa's NDC2.,"South Africa's NDC2 explicitly defines its gas scope as five greenhouse gases — CO2, CH4, N2O, HFCs, and PFCs — and explicitly states it excludes SF6 and NF3 due to lack of data, not all six Kyoto gases as claimed (NDC2_2021_South_Africa.pdf). Saudi Arabia's NDC2 does not contain an explicit gas-by-gas scope statement; it instead emphasizes Circular Carbon Economy measures including CCUS (Section 4.3) and a dedicated methane management section with a 30% methane reduction commitment under the Global Methane Pledge (Section 4.5) (NDC2_2021_Saudi_Arabia.pdf).",Partial,"South Africa's gas count is wrong: it covers five gases, not all six Kyoto Protocol gases, and explicitly excludes SF6 and NF3. The peak-plateau-decline framing for South Africa and the circular carbon economy/CCUS emphasis for Saudi Arabia are both correct, but Saudi Arabia's ""CO2, CH4, N2O"" gas-scope claim is not explicitly stated in the document in that form.",Reviewer 1,Not formally adjudicated
43,C013,COMPARATIVE,Which countries in the G20 corpus include explicit electric vehicle targets in their NDC2 submissions?,"Among G20 NDC2s, the UK (p.17) commits to ending new petrol/diesel car sales by 2030; Australia (p.3), Canada (pp.25-36), China (pp.24-34), Russia (pp.13-15,33) mention EV deployment/infrastructure; South Korea (p.3) references ""zero-emission vehicles"" with no numeric target; EU has no explicit EV target (only general Green Deal mentions, pp.71,238). Source: respective NDC2 PDFs (UK, Australia, Canada, China, Russia, South_Korea, EU).",Partial,"Qualitative direction matches, but the specific figures cited (South Korea's 3.62M EVs/290K hydrogen vehicles, EU's 30M zero-emission vehicles) do not appear in the actual document text they're unverifiable/likely sourced from outside the corpus.",Reviewer 1,Not formally adjudicated
45,C015,COMPARATIVE,Which G20 NDC2 submissions in the corpus explicitly address just transition principles for workers in fossil fuel industries?,"South Africa's NDC2 (pp.3,5-6,13,15,28-31) is the most explicit, detailing a Presidential Climate Commission overseeing the country's just transition. Argentina (pp.7,22,25,26,43,100), Canada (pp.9,39), Indonesia (pp.14,29), Turkey (pp.4,27,28,35), South Korea (pp.5,14), UK (pp.6,19,23,48), Russia (p.23), and EU (p.2, via Just Transition Fund) also reference just transition, though mostly in general terms without specific worker-number commitments. Source: NDC2 PDFs for South_Africa, Argentina, Canada, Indonesia, Turkey, South_Korea, UK, Russia, and EU.",Partial,"South Africa being the most explicit is correct, but the specific ""120,000 direct workers"" figure, the UK's ""Just Transition Commission for Scotland,"" and Canada's ""oil and gas workers"" reference do not appear in the actual document text these are not verifiable from the corpus. Also, more countries (Argentina, Indonesia, Turkey, Russia, South Korea, EU) mention just transition than the existing answer's ""most other submissions"" framing suggests.",Reviewer 1,Not formally adjudicated
46,C016,COMPARATIVE,Which has a more ambitious 2030 target relative to the IPCC 1.5°C benchmark — India or Australia?,"ustralia's NDC2 (pp.1-6, target table p.3) sets a more ambitious, unconditional 2030 target 43% absolute GHG reduction below 2005 levels versus India's NDC2 (p.1) target of 45% emissions-intensity reduction (not absolute) and 50% non-fossil power capacity by 2030. Per IPCC WG3 SPM (p. with C.1.1, ~p.17), a 1.5°C-aligned pathway requires a 43% global reduction from 2019 levels by 2030; neither target is directly comparable to this global benchmark since both are intensity/sector-based or base-year-2005 framed, not 2019-baseline absolute cuts. Source: NDC2_2022_Australia.pdf, NDC2_2022_India.pdf, WG3_SPM_2022.pdf.",Partial,"The core comparison (Australia's 43% absolute cut vs India's intensity/non-fossil targets) and IPCC's 43%-by-2030 benchmark are confirmed in the documents, but the existing answer's claims about India's target being ""conditional"" and references to ""per-capita emissions""/CBDR are not found anywhere in India's NDC2 text  these are external additions not supported by the corpus.",Reviewer 1,Not formally adjudicated
48,C018,COMPARATIVE,Compare how Russia and Brazil account for LULUCF in their NDC2 submissions.,"Russia's NDC2 (pp.3,5-6,16-20,23,25,29-31,34,36-37) conditions its target (reduction to 70% of 1990 emission levels by 2030/2035, i.e. ~30% cut) on taking into account ""the maximum possible absorptive capacity of forests and other ecosystems,"" explicitly building large LULUCF sink credits into the target. Brazil's NDC2 (pp.4,6-7,9) instead commits to zero (illegal) deforestation by 2030 under the PPCDAm action plan and references restoration of degraded lands, framing forests as an active mitigation/protection measure rather than a target-conditioning offset. Source: NDC2_2022_Russia.pdf, NDC2_2022_Brazil.pdf.",Partial,"The core distinction (Russia conditioning its target on forest absorptive capacity vs. Brazil's deforestation/restoration commitments) is confirmed in the documents, but the existing answer says ""30% reduction target,"" while the document actually states the target as ""reduction to 70% of 1990 levels"" (mathematically equivalent but not phrased that way), and Brazil's NDC2 text says ""zero deforestation,"" not ""halting illegal deforestation"" as worded in the existing answer.",Reviewer 1,Not formally adjudicated
49,C019,COMPARATIVE,Compare the overall ambition of G20 collective NDC2 targets against the IPCC-recommended 2030 pathway. Is the collective on track?,"IPCC WG3 SPM (C.1.1) requires a 43% global GHG reduction by 2030 from 2019 levels for a 1.5°C pathway. The IPCC Synthesis Report 2023 (SPM A.4.3) states a substantial ""emissions gap"" exists, with NDCs announced before COP26 keeping 2030 emissions ""similar to or only slightly below 2019 levels,"" and that NDC-consistent pathways would lead to median global warming of 2.8°C [2.1-3.4°C] by 2100 making 1.5°C unlikely. This confirms the G20/global NDC collective falls well short of the 1.5°C pathway. Source: WG3_SPM_2022.pdf, SYR_FullVolume_2023.pdf.",Partial,"The 43% reduction benchmark and ""substantially falls short"" conclusion are confirmed, but the specific figures are wrong  the document does not state a ""10-16% increase"" (it instead says NDC emissions stay near/slightly below 2019 levels), and the projected warming is 2.8°C, not 2.5°C, as stated in the existing answer.",Reviewer 1,Not formally adjudicated
50,C020,COMPARATIVE,Which developing G20 countries in the corpus make the strongest explicit calls for adaptation finance from developed nations?,"South Africa's NDC2 (p.13) makes the strongest explicit adaptation-finance call, specifying access to adaptation finance and a target of ""advancing adaptation finance by the private sector"" with funding goals around 4% of GDP. India's NDC2 (p.3) calls to ""mobilize domestic and new & additional funds from developed countries"" but does not mention a specific USD 100 billion figure. Indonesia's NDC2 (p.13) references securing financial support for adaptation planning. Brazil's NDC2 contains no comparable explicit adaptation-finance appeal. Source: NDC2_2021_South_Africa.pdf, NDC2_2022_India.pdf, NDC2_2022_Indonesia.pdf, NDC2_2022_Brazil.pdf.",Partial,"The general ranking and Brazil's contrast are roughly supported, but the existing answer's claim that India invokes the ""USD 100 billion per year commitment"" does not appear in India's NDC2 text, and South Africa not India has the most explicit/specific adaptation finance language in the corpus.",Reviewer 1,Not formally adjudicated
51,C021,COMPARATIVE,Compare the sector coverage of Canada's and Mexico's NDC2 submissions.,"Canada's NDC2 (pp.3-42, e.g. pp.25-31,33,35-42) covers energy, oil & gas, transportation, buildings, heavy industry, agriculture, forestry, and waste with detailed sector-specific measures and quantification. Mexico's NDC2 (Spanish-language; pp.10-15) covers similar sectors land use/LULUCF (p.10), transport (p.11), electricity generation (p.12, which explicitly mentions ""generación distribuida renovable""/distributed renewable generation), industry (p.13), oil & gas (p.14), agriculture & livestock (p.14), residential/commercial buildings (p.14), and waste (p.15) with comparatively more qualitative, narrative descriptions per sector versus Canada's more quantified targets. Source: NDC2_2021_Canada.pdf, NDC2_2022_Mexico.pdf.",Partial,"All major claims are verified in the documents both countries cover comparable sectors (energy, transport, industry, agriculture, forestry/land use, waste, buildings), Mexico's electricity section explicitly emphasizes distributed renewable generation, and Canada's NDC2 contains more detailed/quantified sector measures while Mexico's are more qualitative.",Reviewer 1,Not formally adjudicated
52,C022,COMPARATIVE,How do China's and South Korea's NDC2 submissions differ in their approach to hydrogen as a clean energy technology?,"China's NDC2 (pp.42,54) explicitly mentions hydrogen committing to build hydrogen filling stations for transport and listing ""hydrogen energy"" as a priority technology for low-carbon industrial breakthroughs. South Korea's NDC2 (p.3) only briefly references hydrogen once, in general terms, with no numeric vehicle/station targets in the text. Source: NDC2_2021_China.pdf, NDC2_2021_South_Korea.pdf.",Partial,"The existing answer is factually inverted China's NDC2 does explicitly mention hydrogen (filling stations, hydrogen energy R&D), while South Korea's NDC2 contains only one passing hydrogen reference with no ""290,000 vehicles/450 stations"" target found anywhere in the document; these specific figures do not appear in the corpus.",Reviewer 1,Not formally adjudicated
53,C023,COMPARATIVE,"Why do Russia's and Turkey's NDC2 targets appear modest compared to other G20 nations, and what contextual factors explain this?","Russia's NDC2 (pp.3-5,~37) targets a 65-70% reduction relative to a 1990 baseline — a high baseline since Soviet-era emissions were far above post-1991 levels, making the target appear modest in real terms. Turkey's NDC2 (pp.1-2) confirms it ratified the Paris Agreement only in 2021 and this submission is explicitly Turkey's ""updated first NDC"" (using 2012 as base year, BAU-based), reflecting its limited prior commitment depth and developing-country framing. Source: NDC2_2022_Russia.pdf, NDC2_2023_Turkey.pdf.",Partial,"The 1990-baseline explanation for Russia and Turkey's late-2021 ratification/first-NDC status are both confirmed in the documents, but the claim that ""Russia uses LULUCF accounting to soften effective reductions"" — while plausible based on prior questions about forest absorptive capacity — and the ""large fossil fuel industries"" framing are not explicitly stated as causal explanations within these NDC2 texts; they are reasonable inference, not document-sourced fact.",Reviewer 1,Not formally adjudicated
55,C025,COMPARATIVE,Which G20 NDC2 submissions explicitly address gender equity and social inclusion in climate action?,"Argentina's NDC2 (extensive, pp.7-106) is by far the most comprehensive on gender-climate integration. Most other G20 NDC2s also reference gender, including UK (pp.6,11,21-23,33,48), Canada (pp.10,14,17,21-23), Indonesia (pp.12-41), Turkey (pp.34-36), South Africa (pp.20,30), EU (pp.2,10,12), Australia, Japan, USA, South Korea, and Russia. Source: NDC2_2021_Argentina.pdf and the respective country NDC2 PDFs.",Partial,"Argentina's strong lead is correct, but the claim it's the ""only G20 country"" with gender-climate integration is false gender is referenced in 12 of 13 NDC2s checked, and the cited ""National Action Plan on Gender and Climate Change"" title isn't found verbatim in the document.",Reviewer 1,Not formally adjudicated
57,G002,GAP DETECTION,Identify the gap between India's NDC2 long-term targets and IPCC AR6 net zero recommendations for developing nations.,"India's NDC2 (p.4) explicitly states the update is ""a step forward towards our long term goal of reaching net-zero by 2070"" the 2070 target IS in the NDC2 text itself, not merely an external announcement. IPCC WG3 SPM (Table 3.1, ~p.21) indicates 1.5°C pathways require global net-zero CO2 around 2050, leaving roughly a 20-year gap between India's 2070 commitment and the IPCC's global benchmark, though IPCC text doesn't specify a separate developing-nation timeline. Source: NDC2_2022_India.pdf, WG3_SPM_2022.pdf.",Partial,"The existing answer's central claim — that ""India has no net zero target year specified in its NDC2"" and that 2070 was announced ""outside the formal NDC process"" is factually wrong; the document explicitly states the 2070 net-zero goal on page 4 of the NDC2 itself.",Reviewer 1,Not formally adjudicated
58,G003,GAP DETECTION,Assess the gap between G20 NDC2 methane commitments and IPCC AR6 methane reduction recommendations.,"IPCC WG3 SPM (~p.20, para C.1.1) confirms a 34% [21-57%] global methane reduction is needed by 2030 (vs 2019/2020) for 1.5°C pathways. In the NDC2 corpus, the Global Methane Pledge's 30%-by-2030 target is explicitly referenced by Saudi Arabia (NDC2_2021_Saudi_Arabia.pdf, p.7), South Korea (NDC2_2021_South_Korea.pdf, pp.7,16), and UK (NDC2_2022_UK.pdf, p.16) as members all falling short of IPCC's 34% benchmark; no NDC2 in the corpus commits to a standalone 34% methane target. Source: WG3_SPM_2022.pdf, NDC2_2021_Saudi_Arabia.pdf, NDC2_2021_South_Korea.pdf, NDC2_2022_UK.pdf.",Partial,"The IPCC 34% figure and ""no NDC2 meets it"" conclusion are confirmed, but the existing answer is factually wrong claiming Saudi Arabia hasn't signed the Global Methane Pledge its own NDC2 explicitly states Saudi Arabia is a member; South Korea's membership is also undocumented in the existing answer's signer list.",Reviewer 1,Not formally adjudicated
59,G004,GAP DETECTION,What is the gap between developing G20 nations' identified adaptation needs and the international finance commitments in their NDC2 submissions?,"G20 developing nations' NDC2s mostly state adaptation needs without quantifying required international finance — India and Indonesia ask for funds to close the ""resource gap"" with no amount specified, while South Africa is the exception, naming a floor of USD 8 billion/year by 2030 (split evenly with mitigation). No document in this corpus supports a ""USD 127 billion"" adaptation finance-needs figure; IPCC WG2 only refers to ""127 key risks,"" an unrelated number.
Source: NDC2_2022_India.pdf (p.3); NDC2_2022_Indonesia.pdf (p.27); NDC2_2021_South_Africa.pdf (pp.29–30); WG2_TechnicalSummary_2022.pdf (p.21)",Partial,"correct that most NDC2s leave finance unquantified, but wrong that South Africa lacks a figure (it states USD 8bn/yr), and the ""USD 127 billion"" IPCC citation isn't in the source documents (only ""127 key risks"" appears, a different fact entirely).",Reviewer 1,Not formally adjudicated
60,G005,GAP DETECTION,"Which G20 NDC2 submissions in the corpus include coal phase-out commitments, and how does this compare to IPCC guidance?","UK (phase out unabated coal by 2024), Canada (coal phase-out by 2030), and South Korea (coal phase-down + ban on new coal plants) have explicit coal commitments in their NDC2s. China has only partial pledges (no new overseas coal, phase out outdated capacity domestically). India, Indonesia, South Africa, Australia, Japan, and the EU include no coal phase-out commitment. IPCC WG3 calls for coal use without CCS to fall 67–82% by 2030 in 1.5°C pathways only UK, Canada, and South Korea align directionally; most G20 coal users fall short.
Source: NDC2_2022_UK.pdf (p.17); NDC2_2021_Canada.pdf (p.26); NDC2_2021_South_Korea.pdf (pp.2,24); NDC2_2021_China.pdf (pp.5,17,51); NDC2_2020_EU.pdf (no coal mention); WG3_TechnicalSummary_2022.pdf (p.43)",Partial,"UK/Canada and the ""no commitment"" countries are correctly identified, but the IPCC figure is wrong (67–82%, not 59–78%), the EU has no coal mention at all (no Green Deal reference exists in its NDC2), South Korea's commitment was omitted, and China is mischaracterized as having no commitment when it has narrower pledges.",Reviewer 1,Not formally adjudicated
61,G006,GAP DETECTION,Identify three G20 NDC2 commitments that are vague and lack measurability compared to IPCC quantified recommendations.,"Examples of vague/unmeasurable G20 NDC2 commitments: (1) Russia sets a 65–67% reduction target by 2035 ""taking into account the maximum possible absorptive capacity of forests,"" an undefined qualifier with no quantified forest-sink value. (2) Saudi Arabia's ""circular carbon economy"" approach references carbon capture, utilisation and storage without specific deployment targets or timelines. (3) Argentina's headline target is actually unconditional and quantified net emissions not to exceed 349 MtCO2e by 2030 so it does not qualify as a vague example; the ""369 MtCO2e conditional"" claim is not supported by the document text.
Source: NDC2_2022_Russia.pdf (pp.3,29); NDC2_2021_Saudi_Arabia.pdf (pp.6,10-11); NDC2_2021_Argentina.pdf (p.6)",Partial,"Russia and Saudi Arabia examples are accurate. Argentina is wrong — the actual target is an unconditional 349 MtCO2e cap by 2030 (not 369, not conditional), so it isn't a valid example of vagueness; a third example would need to be sourced elsewhere in the corpus.",Reviewer 1,Not formally adjudicated
62,G007,GAP DETECTION,What is the gap between G20 NDC2 transport sector commitments and IPCC AR6 WG3 transport decarbonisation recommendations?,"The IPCC WG3 SPM states global transport CO2 emissions must fall by 59% (42–68% interquartile range) by 2050 relative to 2020 in 1.5°C pathways not ""59–84%,"" and there is no standalone ""Chapter 10"" document in this corpus (only SPM/TS references to it). Among G20 NDC2s, the UK is the clearest transport commitment, ending sales of new petrol and diesel vehicles by 2030. South Korea mentions it has ""markedly raised"" its 2030 zero-emission vehicle deployment target but does not state a specific number or percentage in its NDC2 text so it is not actually a quantified target. Most other G20 NDC2s (India, Indonesia, China, Brazil, etc.) treat transport within economy-wide targets with no sector-specific transport emissions percentage.
Source: WG3_SPM_2022.pdf (p.36); NDC2_2022_UK.pdf (p.17); NDC2_2021_South_Korea.pdf (p.3)",Partial,"UK's commitment and the broad ""most G20 lack quantified transport targets"" conclusion are correct, but the IPCC figure is wrong (59%, 42–68% range not 59–84%), the cited ""WG3 Chapter 10"" document doesn't exist standalone in the corpus, and South Korea's ""specific EV target"" claim is unsupported its NDC2 gives no actual number.",Reviewer 1,Not formally adjudicated
63,G008,GAP DETECTION,Which sectors required by IPCC AR6 for deep decarbonisation are absent or underrepresented in Saudi Arabia's NDC2?,"Saudi Arabia's NDC2 actually does reference aviation, shipping, petrochemicals, and steel as future blue-hydrogen/CCUS target sectors, plans industrial decarbonisation via CCUS hubs in Jubail and Yanbu, and includes land-based actions (Saudi Green Initiative tree planting, mangrove/blue-carbon protection, desertification management) contrary to the existing claims. The real gap is the absence of any outward adaptation finance commitment to other vulnerable nations; Saudi only states its own NDC implementation is ""not contingent on receiving international financial support.""
Source: NDC2_2021_Saudi_Arabia.pdf (pp.4-8, 11)",None,"3 of 4 claimed gaps are factually wrong (aviation/shipping, industrial process, and land/forestry are all mentioned in the document); only the ""no adaptation finance for vulnerable nations"" point holds.",Reviewer 1,Not formally adjudicated
66,G011,GAP DETECTION,Does Australia's 43% reduction by 2030 align with IPCC's recommended pathway for advanced economies?,"Australia's NDC2 target is confirmed as 43% reduction below 2005 levels by 2030 (not 2019), while IPCC WG3 SPM states global GHG emissions must fall 43% [34–60%] below 2019 levels by 2030 for 1.5°C pathways so the headline ""43%"" figures use different baseline years and aren't directly comparable. However, the corpus contains no IPCC-sourced ""50–70% for developed economies"" benchmark, and no Australia 2019 emissions figure to support the claimed ""~38-40% below 2019"" recalculation both are external/unverifiable within these documents.
Source: NDC2_2022_Australia.pdf (pp.3,7); WG3_SPM_2022.pdf (p.21)",Partial,"The core insight (43% Australia is measured against 2005, not the IPCC's 2019 baseline) is correctly identified and document-supported, but the ""50-70% for developed economies"" IPCC benchmark and the ""38-40% below 2019"" recalculated figure are not found anywhere in the provided documents they appear to be external estimates, not document-sourced.",Reviewer 1,Not formally adjudicated
68,G013,GAP DETECTION,What implementation gaps exist between Mexico's NDC2 stated targets and its domestic policy framework?,"Mexico's NDC2 sets a 35% reduction target by 2030, but it is not unconditional it's funded by at least 30% domestic resources plus 5% international finance, with a separate conditional tier up to 40%. The NDC2 does cite domestic legislation, anchoring policies to Mexico's General Climate Change Law (2013). PEMEX and CFE appear only as implementing entities for mitigation actions, not as obstacles reversing renewables that narrative isn't in the document.
Source: NDC2_2022_Mexico.pdf (pp.9, 12, 14)",None,"the ""unconditional 35%"" framing is wrong (it's part domestic, part internationally-funded, with a separate conditional 40% target), the claim of ""no domestic legislation referenced"" is directly contradicted by the General Climate Change Law citation, and the PEMEX/CFE-reversal/declining-renewables claim has no support in this document.",Reviewer 1,Not formally adjudicated
69,G014,GAP DETECTION,Which sectors required for deep decarbonisation by IPCC AR6 are missing from Russia's NDC2?,"All four sectors claimed ""missing"" actually appear in Russia's NDC2, just without quantified targets: renewable energy (solar, wind, hydropower) development is referenced (pp.9,11-12,20), ""electrification of transport"" is a stated LT-LEDS measure (p.9), industrial decarbonisation actions are described (coal sector, CCUS, hydrogen), and methane-reduction actions exist (oil/gas flaring and leak reduction, plus joining the 2024 ""Declaration on Reducing Methane Emissions from Organic Waste,"" p.23). The real gap is lack of quantified numeric targets for these sectors not their absence.
Source: NDC2_2022_Russia.pdf (pp.9, 11-12, 20, 23)",None,"All four claimed absences are factually wrong renewable energy, transport electrification, industrial decarbonisation, and methane-reduction actions are all explicitly mentioned in Russia's NDC2. The true gap is lack of quantified targets for these sectors, not their complete absence as the existing answer states.",Reviewer 1,Not formally adjudicated
70,G015,GAP DETECTION,"Does South Korea's 2030 target of 40% below 2018 BAU align with IPCC requirements for developed economies, and what specific gaps exist?","South Korea's target is 40% reduction from actual 2018 emissions (727.6 MtCO2eq) the NDC2 explicitly states it replaced its earlier BAU-based target with this absolute target, so the ""BAU conversion to ~24%"" claim is invalid. Real, supported gaps: aged coal plants are to shut down or shift to LNG with no LNG phase-out date; coal was ~40% of the power mix with a ban on new coal plants but no explicit phase-out year; and nuclear power is not mentioned anywhere in the document, so the ""nuclear masking renewables"" claim is unsupported.
Source: NDC2_2021_South_Korea.pdf (pp.1-2, 8-9, 24)",Partial,"coal/LNG gaps are accurate, but the core baseline claim is wrong (target is 40% below actual 2018 emissions, not BAU), invalidating the recalculated ""~24%"" figure, and the nuclear-power claim has no textual support.",Reviewer 1,Not formally adjudicated
71,G016,GAP DETECTION,Assess the gap between G20 NDC2 carbon capture and storage (CCS) commitments and IPCC AR6 recommendations for CCS deployment.,"IPCC WG3 gives an annual CDR figure for BECCS specifically of 0.52–9.45 GtCO2/yr by 2050 (not a generic ""1.5–9.5 GtCO2 CCS"" range). Saudi Arabia references CCUS (circular carbon economy, planned hubs) without capacity targets, and the USA mentions carbon capture in its clean energy strategy both accurate. However, Japan's NDC2 has no mention of CCS, carbon capture, or sequestration at all. No G20 NDC2 specifies a quantified CCS deployment target.
Source: WG3_TechnicalSummary_2022.pdf (p.68); NDC2_2021_Saudi_Arabia.pdf (pp.6,11); NDC2_2021_USA.pdf (p.4); NDC2_2021_Japan.pdf (no CCS mention)",Partial,"Saudi Arabia/USA mentions and the ""no quantified CCS targets"" conclusion are correct, but the IPCC figure is imprecise (it's BECCS-specific, not generic CCS), and the claim that Japan mentions CCS is false — it appears nowhere in Japan's NDC2.",Reviewer 1,Not formally adjudicated
73,G018,GAP DETECTION,"What is the collective conditional versus unconditional gap across G20 NDC2 developing nations, and what does this mean for global ambition?","Indonesia's actual split is 29% unconditional vs 41% conditional of BAU not ""31.89% vs 43.20%"" (that figure doesn't appear in the document). Mexico's figures are roughly accurate (35% domestic+partial international, rising to conditional 40%). India's NDC2 doesn't use formal ""conditional/unconditional"" terminology at all, unlike Indonesia's CM1/CM2 structure it just discusses general finance/resource gaps. The ""~2–4 GtCO2e/year"" aggregate gap figure appears nowhere in any document.
Source: NDC2_2022_Indonesia.pdf (pp.3,11,16,20); NDC2_2022_Mexico.pdf (p.9); NDC2_2022_India.pdf (p.3)",None,"Indonesia's percentages are wrong, India is mischaracterized as having a formal conditional-target split it doesn't use, and the ""2-4 GtCO2e/year"" figure has no source in the corpus; only Mexico's figures hold up.",Reviewer 1,Not formally adjudicated
74,G019,GAP DETECTION,Assess the gap between G20 NDC2 industrial decarbonisation commitments and IPCC AR6 guidance for heavy industry.,"IPCC WG3 SPM identifies steel, cement, and chemicals as needing electrification, hydrogen, and CCS (pp.32-43); no dedicated industry chapter exists in this corpus. South Korea's NDC2 is actually quite specific naming steelmaking, petrochemicals, cement, with electric furnaces, naphtha-cracker shifts, and a cement energy-saving target (p.2). However, Japan's ""Green Innovation Fund"" appears nowhere in its NDC2, and the EU's NDC2 has no reference to ""Industrial Strategy"" or CBAM both claims are unsupported. China, India, and Brazil do treat industry within economy-wide targets without sector-level quantification.
Source: WG3_SPM_2022.pdf (pp.32-43); NDC2_2021_South_Korea.pdf (p.2); NDC2_2021_Japan.pdf (no mention); NDC2_2020_EU.pdf (no mention)",Partial,"the IPCC framing and broad ""most G20 lack sector-specific industrial targets"" conclusion hold, but the Japan ""Green Innovation Fund"" and EU ""Industrial Strategy/CBAM"" citations have no support in either document, and South Korea's commitments are more specific than the answer suggests.",Reviewer 1,Not formally adjudicated
75,G020,GAP DETECTION,How does the distribution of G20 NDC2 ambition levels relate to historical cumulative emissions and the equity principle in IPCC AR6?,"PCC WG3 SPM (Section B.3) confirms major historical-emissions disparities LDCs contributed under 0.4% of cumulative CO2-FFI emissions (1850–2019) while a few regions hold the bulk supporting the equity principle. But ""Climate Action Tracker"" appears nowhere in this corpus the claim that Russia and Australia are ""rated insufficient"" by it is unsupported by any document. The corpus also doesn't explicitly name USA/EU/UK/Russia as top historical emitters or state that ""current NDCs do not reflect equity adequately.""
Source: WG3_SPM_2022.pdf (p.13, Section B.3); WG3_Chapter04_MitigationDevelopmentPathways_2022.pdf (p.34)",None,"the general equity/historical-emissions framing is broadly consistent with WG3 SPM, but the ""Climate Action Tracker"" citation is unsupported (absent from the corpus entirely), and the specific country-ranking and ""IPCC finds NDCs don't reflect equity"" claims aren't verifiable in the provided documents.",Reviewer 1,Not formally adjudicated
76,G021,GAP DETECTION,"Which G20 NDC2 submissions address fossil fuel subsidies, and how does this compare to IPCC guidance?"," Indonesia is the clear G20 example addressing fossil fuel subsidies its NDC2 states it's ""one of the pioneer countries for fossil fuel subsidy reform"" and has ""succeeded in removing fossil fuel subsidies"" to redirect funds to renewables/infrastructure entirely omitted from the existing answer. Canada's NDC2 has no mention of fossil fuel subsidies, and the UK's NDC2 has no reference to ""Green Finance Taxonomy"" both cited claims are unsupported. Russia's ""subsidies"" mention relates to housing, not fossil fuels. No G20 NDC2 gives a phase-out timeline with specific amounts.
Source: NDC2_2022_Indonesia.pdf (p.17); NDC2_2021_Canada.pdf (no mention); NDC2_2022_UK.pdf (no mention); NDC2_2022_Russia.pdf (p.15, unrelated)",None,"the two specific examples (Canada, UK) appear nowhere in their documents, while Indonesia, the actual G20 nation addressing fossil fuel subsidies, was omitted entirely. Only the ""Mexico/Saudi Arabia/Russia silent on it"" part holds up.",Reviewer 1,Not formally adjudicated
77,G022,GAP DETECTION,"Which G20 countries in the corpus have net zero targets in their NDC2 and which do not, and how does this compare to IPCC's 2050 requirement?","Countries WITH net-zero/carbon-neutrality targets in NDC2: UK, EU, Canada, Japan, South Korea, Australia, Brazil (all 2050), China (2060), India (2070), and Russia (2060) the last two were wrongly placed in the ""no year"" group by the existing answer. Genuinely WITHOUT a stated year: Saudi Arabia (only references an external Net-Zero Producers Forum), Indonesia (aspirational, no year), Mexico, and Argentina. So only 4 of 14 not ""over half"" actually lack a net-zero year.
Source: NDC2_2022_India.pdf (p.4); NDC2_2022_Russia.pdf (pp.9,31-32); plus NDC2_2022_UK.pdf, NDC2_2020_EU.pdf, NDC2_2021_Canada.pdf, NDC2_2021_Japan.pdf, NDC2_2021_South_Korea.pdf, NDC2_2022_Australia.pdf, NDC2_2022_Brazil.pdf, NDC2_2021_China.pdf, NDC2_2021_Saudi_Arabia.pdf, NDC2_2022_Indonesia.pdf",Partial,"the ""with net-zero"" list and China's 2060 figure are correct, but India (net-zero 2070) and Russia (carbon neutrality 2060) were wrongly placed in the ""no year"" group, both of which explicitly state target years in their NDC2 text. This means the ""over half lack net-zero commitments"" conclusion is overstated only 4 of 14 actually do.",Reviewer 1,Not formally adjudicated
78,G023,GAP DETECTION,What is the gap between G20 NDC2 food system commitments and IPCC AR6 recommendations for sustainable food systems?,"IPCC WG3 confirms food systems contribute 23–42% of global GHG emissions (accurate). But the claim that food waste/dietary measures are absent from G20 NDC2s is wrong: China's NDC2 cites a nationwide ""empty-plate"" food waste reduction campaign (p.38), and Turkey's NDC2 explicitly addresses ""reducing food loss and waste"" alongside its below-average meat/dairy consumption (p.14). Brazil and India's agriculture focus on productivity/adaptation, not dietary transition, is correctly characterized.
Source: WG3_TechnicalSummary_2022.pdf (p.65); NDC2_2021_China.pdf (p.38); NDC2_2023_Turkey.pdf (p.14)",Partial,"the 23-42% IPCC figure and Brazil/India characterization are accurate, but the claim that ""no G20 NDC2 includes food waste reduction"" is factually wrong China and Turkey both explicitly address it, so food waste isn't ""essentially absent"" as stated.",Reviewer 1,Not formally adjudicated
